account_id,risk_label,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
L00011,0,3.029768,0.33566725,2.8235285,0.0,0.0,2.0185456,0.913023,3.8694603,0.0,0.0,1.5442057,0.0,3.679125,0.03316112,0.0,2.3740664,1.822873,0.0,1.4026909,0.6392929,0.0,3.7405245,0.0,0.0,0.0,3.7160983,0.0,1.7400687,0.0,1.5572958,0.0,0.2235794
L00012,0,2.7600303,0.35009438,2.6169438,0.0,0.0,1.9242892,0.9033148,3.596711,0.0,0.0,1.5586277,0.0,3.4682176,0.0,0.0,2.3781404,1.7929434,0.0,1.3645892,0.67581743,0.0,3.3814685,0.0,0.0,0.0,3.4727502,0.0,1.7209091,0.0,1.5008779,0.0,0.16399014
L00013,0,2.6814592,0.41676894,2.5009494,0.0,0.0,1.7848675,0.852407,3.4072435,0.0,0.0,1.4481907,0.0,3.199302,0.0,0.0,2.1229935,1.6641121,0.0,1.275742,0.62663233,0.0,3.293322,0.0,0.0,0.0,3.2680764,0.0,1.6048603,0.0,1.4221861,0.0,0.23124988
L00014,0,2.6558526,0.30035982,2.5522528,0.0,0.0,1.8651841,0.83871245,3.4943724,0.0,0.0,1.4820609,0.0,3.3395932,0.0,0.0,2.1209433,1.7053759,0.0,1.3465691,0.6337832,0.0,3.2997074,0.0,0.0,0.0,3.390028,0.0,1.594323,0.0,1.4015511,0.0,0.20519984
L00015,0,2.8515947,0.24736619,2.7003999,0.0,0.0,2.001687,0.6928531,3.5076134,0.0,0.0,1.2265823,0.0,3.3962648,0.44447035,0.0,1.8807863,1.5719523,0.29410505,1.2526228,0.46880987,0.39680278,3.585208,0.0,0.0,0.16891372,3.5725493,0.0,1.4319105,0.13323039,1.2501645,0.0,0.13400005
L00016,0,2.5882092,0.3613469,2.4900343,0.0,0.0,1.7494167,0.85293126,3.2499528,0.0,0.0,1.4123942,0.0,3.1080892,0.0,0.0,2.127851,1.6595156,0.0,1.2290316,0.63239014,0.0,3.1067686,0.0,0.0,0.0,3.1866827,0.0,1.5862887,0.0,1.3703086,0.0,0.14682043
L00017,0,3.2437034,0.0,3.0396724,0.0,0.19439791,2.23834,0.50217605,4.20047,0.0,0.0,1.1554828,0.0,4.237501,0.98806673,0.0,2.071209,1.6474843,0.71686435,1.4084377,0.29696366,0.95660627,4.2067227,0.20394063,0.0,0.39982885,4.333803,0.25322917,1.4112585,0.47198975,1.2621768,0.0,0.0
L00018,0,2.4467874,0.2948168,2.4249382,0.0,0.0,1.6622874,0.76133,3.2295225,0.0,0.0,1.2952216,0.0,3.0914123,0.0,0.0,2.0348938,1.5838991,0.0,1.2305899,0.5783546,0.0,3.008685,0.0,0.0,0.0,3.1195755,0.0,1.4795948,0.0,1.3284378,0.0,0.19141737
L00019,0,2.2803807,0.4133053,2.1086056,0.0,0.0,1.5402974,0.77795374,2.800528,0.0,0.0,1.2687346,0.0,2.6401134,0.0,0.0,1.7894113,1.4135443,0.0,1.0927753,0.57717514,0.0,2.7495716,0.0,0.0,0.0,2.7368522,0.0,1.3772458,0.0,1.2088943,0.0,0.16550946
L00020,0,3.8989327,0.30678016,3.6104226,0.0,0.0,2.7986479,1.2463851,4.900609,0.0,0.0,2.240573,0.0,4.81269,0.039081678,0.0,3.2860496,2.489419,0.0,1.8229027,0.8830889,0.0,4.782863,0.0,0.0,0.0,4.965276,0.0,2.283346,0.0016001612,1.9823132,0.0,0.13676624
L00021,0,2.5089626,0.29167503,2.414633,0.0,0.0,1.7364782,0.7328558,3.1601336,0.0,0.0,1.2138956,0.0,2.9824336,0.13639523,0.0,1.8395416,1.532837,0.0,1.1957331,0.5560798,0.07806754,3.0628119,0.0,0.0,0.06215895,3.125166,0.0,1.3721865,0.0,1.2129774,0.0,0.18024394
L00022,0,2.5996175,0.39025283,2.3550363,0.0,0.0,1.7529955,0.8301492,3.3059828,0.0,0.0,1.4030039,0.0,3.0755558,0.0,0.0,2.0293021,1.5776814,0.0,1.2631071,0.59759504,0.0,3.1956587,0.0,0.0,0.0,3.1560917,0.0,1.5208031,0.0,1.3695998,0.0,0.2091091
L00023,0,2.7490952,0.12168378,2.68041,0.0,0.02266477,2.102954,0.68353975,3.664405,0.0,0.0,1.1530502,0.0,3.9024968,0.5375108,0.0,2.1144073,1.3897637,0.3465736,1.3455982,0.37457588,0.50738984,3.8860502,0.0,0.0,0.13609794,3.7154555,0.010077655,1.5044866,0.41979092,1.4579391,0.0,0.18868896
L00024,0,1.9865689,0.41666538,1.9585488,0.0,0.0,1.2652122,0.6999582,2.6056197,0.0,0.0,1.1034663,0.0,2.4329102,0.0,0.0,1.7083607,1.3259737,0.0,0.9962525,0.5688739,0.0,2.435382,0.0,0.0,0.0,2.461772,0.0,1.3138529,0.0,1.1544609,0.0,0.17298216
L00025,0,2.556136,0.36090085,2.4635363,0.0,0.0,1.7432641,0.82731986,3.3085034,0.0,0.0,1.4326307,0.0,3.1428697,0.0,0.0,2.1359348,1.6581638,0.0,1.2708726,0.62637377,0.0,3.1203094,0.0,0.0,0.0,3.221188,0.0,1.5812914,0.0,1.3844411,0.0,0.17318994
L00026,0,2.155782,0.5043002,2.0079095,0.0,0.0,1.4109838,0.742211,2.6679533,0.0,0.0,1.2259341,0.0,2.4375157,0.0,0.0,1.7675154,1.3917197,0.0,1.0421124,0.58968496,0.0,2.574653,0.0,0.0,0.0,2.614995,0.0,1.3481368,0.0,1.1976922,0.0,0.15771821
L00027,0,2.1909215,0.43414783,2.0872157,0.0,0.0,1.480121,0.72732115,2.8333857,0.0,0.0,1.2152686,0.0,2.6386392,0.0,0.0,1.8121787,1.4335284,0.0,1.1149141,0.58735,0.0,2.6720817,0.0,0.0,0.0,2.7276268,0.0,1.3810897,0.0,1.2333666,0.0,0.19551148
L00028,0,2.4520197,0.36071724,2.2662134,0.0,0.0,1.680936,0.8247435,3.1013777,0.0,0.0,1.3835764,0.0,2.9519508,0.0,0.0,2.0300386,1.549828,0.0,1.2085587,0.6080662,0.0,2.9868295,0.0,0.0,0.0,3.0413098,0.0,1.5046499,0.0,1.3092403,0.0,0.15345874
L00029,0,2.087169,0.34316617,1.8586822,0.0,0.0,1.5212873,0.6791122,2.7273889,0.0,0.0,1.0862848,0.0,2.6031497,0.061848775,0.0,1.6933118,1.2835593,0.0,1.1126325,0.53424144,0.05185114,2.6971903,0.0,0.0,0.0,2.675095,0.0,1.3297876,0.015640527,1.1421386,0.0,0.19846702
L00030,0,3.5192454,0.0,3.3860812,0.0,0.0,2.5093327,0.7572564,4.587641,0.0,0.0,1.5299704,0.0,4.5515356,0.62552494,0.0,2.5056803,2.0298042,0.35990143,1.611089,0.530226,0.5240529,4.4240417,0.0,0.0,0.2711309,4.63705,0.0,1.7294354,0.24697262,1.5225177,0.0,0.12879694
L00031,0,3.0112443,0.40474576,2.7311032,0.0,0.0,2.057536,0.963891,3.6585324,0.0,0.0,1.6383024,0.0,3.399664,0.0,0.0,2.223752,1.8127346,0.0,1.3862076,0.6772934,0.0,3.6421423,0.0,0.0,0.0,3.6095939,0.0,1.6891116,0.0,1.4776957,0.0,0.22429647
L00032,0,2.9803834,0.19457278,3.0449073,0.0,0.0,2.1263292,0.9336262,3.9129016,0.0,0.0,1.6453217,0.0,3.998122,0.04663615,0.0,2.7321024,2.0029314,0.0,1.4312787,0.69386375,0.06570035,3.662782,0.0,0.0,0.0,3.911232,0.0,1.9183187,0.0,1.6386037,0.0,0.054810684
L00033,0,3.26812,0.21331528,3.1256723,0.0,0.0,2.314394,0.95357,4.266169,0.0,0.0,1.7210342,0.0,4.0996046,0.10280277,0.0,2.5862672,2.0510697,0.0,1.5884626,0.6907642,0.041933864,4.048864,0.0,0.0,0.040232383,4.1704607,0.0,1.8694081,0.0,1.6200922,0.0,0.18879461
L00034,0,2.9157352,0.09389764,3.1949048,0.0,0.0,2.0289893,0.9464853,4.082878,0.0,0.0,1.5654011,0.0,4.207791,0.062243268,0.0,2.8249717,2.0205178,0.0,1.4142861,0.68833387,0.0,3.639331,0.0,0.0,0.00014415383,3.9050517,0.0,1.9999542,0.0,1.6617725,0.0,0.09232603
L00035,0,1.9404118,0.46434927,1.8312893,0.0,0.0,1.2788708,0.6952301,2.4876466,0.0,0.0,1.142563,0.0,2.2982614,0.0,0.0,1.6609625,1.2848804,0.0,0.99094003,0.56675875,0.0,2.3499894,0.0,0.0,0.0,2.3963928,0.0,1.2662566,0.0,1.1264215,0.0,0.16485955
L00036,0,2.3742244,0.34717673,2.327708,0.0,0.0,1.6190857,0.7590647,3.1190572,0.0,0.0,1.3001919,0.0,2.973887,0.0,0.0,1.9589903,1.550392,0.0,1.2018522,0.59782875,0.0,2.920007,0.0,0.0,0.0,3.0130987,0.0,1.4741727,0.0,1.3095655,0.0,0.18948703
L00037,0,1.9168274,0.3443476,1.8681729,0.0,0.0,1.3147421,0.63145816,2.535,0.0,0.0,1.1048096,0.0,2.3987296,0.0,0.0,1.6583694,1.2930348,0.0,1.0077851,0.5314832,0.0,2.3576233,0.0,0.0,0.0,2.4352179,0.0,1.2673467,0.0,1.1031666,0.0,0.12260535
L00038,0,1.857321,0.44972992,1.8331661,0.0,0.0,1.1789021,0.67753744,2.4095716,0.0,0.0,1.0572157,0.0,2.2593286,0.0,0.0,1.638101,1.2608645,0.0,0.92872924,0.56319886,0.0,2.260985,0.0,0.0,0.0,2.2960162,0.0,1.2607521,0.0,1.1056101,0.0,0.15801792
L00039,0,2.8016331,0.31195503,2.683391,0.0,0.0,1.9613286,0.90816855,3.5960474,0.0,0.0,1.5652729,0.0,3.4795897,0.0,0.0,2.3392508,1.8030217,0.0,1.367867,0.66736853,0.0,3.4292927,0.0,0.0,0.0,3.531262,0.0,1.710541,0.0,1.4698148,0.0,0.16922885
L00040,0,2.5107584,0.39369747,2.2965634,0.0,0.0,1.6581595,0.80709124,3.1833205,0.0,0.0,1.3286172,0.0,2.957435,0.0,0.0,1.983951,1.5180963,0.0,1.2089231,0.58766305,0.0,3.0674157,0.0,0.0,0.0,3.0637093,0.0,1.4621093,0.0,1.3250327,0.0,0.20707433
L00041,0,2.471392,0.2522809,2.4136977,0.0,0.0,1.6116705,0.7411785,3.3122642,0.0,0.0,1.2211316,0.0,3.222797,0.1006829,0.0,2.0667694,1.52513,0.0,1.2029624,0.523407,0.0841458,3.0819087,0.0,0.0,0.03260187,3.1948795,0.0,1.4772816,0.04162535,1.3312755,0.0,0.12570164
L00042,0,2.722783,0.066970944,2.607369,0.0,0.0,2.069353,0.8531358,3.6424773,0.0,0.0,1.570901,0.0,3.6369343,0.14429422,0.0,2.3079236,1.7525904,0.0,1.4303253,0.59977484,0.17467724,3.4918888,0.0,0.0,0.004196726,3.6319108,0.0,1.6621354,0.0,1.4035072,0.0,0.0856024
L00043,0,2.9175744,0.28048497,2.812644,0.0,0.0,2.0086071,0.9234204,3.7129042,0.0,0.0,1.5850731,0.0,3.619622,0.021976039,0.0,2.377451,1.8398947,0.0,1.3803718,0.6573854,0.0,3.5589821,0.0,0.0,0.0,3.6501164,0.0,1.748929,0.0,1.4979894,0.0,0.16784607
L00044,0,2.1867075,0.29916352,2.0994468,0.0,0.0,1.4157711,0.5976428,2.86024,0.0,0.0,1.0229121,0.0,2.6616306,0.13209786,0.0,1.6514283,1.3215253,0.0,1.0551572,0.48603922,0.12621911,2.6547375,0.0,0.0,0.06991064,2.7636776,0.0,1.2233877,0.005082041,1.1080818,0.0,0.130617
L00045,0,2.8874457,0.31112555,2.7881603,0.0,0.0,1.9788549,0.8957901,3.7409005,0.0,0.0,1.5139188,0.0,3.5874293,0.0,0.0,2.3233962,1.8246915,0.0,1.4121001,0.65874344,0.0,3.5575528,0.0,0.0,0.0,3.6346798,0.0,1.6895013,0.0,1.509861,0.0,0.23267265
L00046,0,3.029111,0.34303927,2.8994832,0.0,0.0,1.9207809,0.88699543,3.8078759,0.0,0.0,1.3793334,0.0,3.5893939,0.13635744,0.0,2.296608,1.7992822,0.0,1.3453515,0.6622601,0.04284887,3.6833706,0.0,0.0,0.04540897,3.700735,0.0,1.6330038,0.027824432,1.4982541,0.0,0.22863722
L00047,0,2.6206002,0.2732494,2.5062785,0.0,0.0,1.8019587,0.8027023,3.3979614,0.0,0.0,1.4227701,0.0,3.2399693,0.0048654974,0.0,2.1067898,1.6673198,0.0,1.302989,0.59955525,0.0,3.2143474,0.0,0.0,0.0,3.3135376,0.0,1.556486,0.0,1.3605131,0.0,0.1724191
L00048,0,2.349129,0.4268466,2.2642307,0.0,0.0,1.5462714,0.7857095,3.042304,0.0,0.0,1.2935615,0.0,2.8930318,0.0,0.0,2.0186975,1.526491,0.0,1.1387839,0.6067804,0.0,2.8409355,0.0,0.0,0.0,2.9146223,0.0,1.490446,0.0,1.3240588,0.0,0.1755774
L00049,0,2.177214,0.4642514,2.0530033,0.0,0.0,1.4110407,0.74215746,2.7751362,0.0,0.0,1.2066841,0.0,2.5397918,0.0,0.0,1.7944146,1.4076426,0.0,1.0754118,0.5840251,0.0,2.6184564,0.0,0.0,0.0,2.6450696,0.0,1.367115,0.0,1.2166177,0.0,0.18502882
L00050,0,2.1417444,0.30083823,2.0621696,0.0,0.0,1.4554988,0.66697097,2.7036357,0.0,0.0,1.104928,0.0,2.594942,0.08204831,0.0,1.6361727,1.3393023,0.0,1.0332422,0.5162554,0.081129536,2.5673084,0.0,0.0,0.013910346,2.6738482,0.0,1.2641702,0.0,1.0910857,0.0,0.1226082
L00051,0,3.1693885,0.0978778,3.059368,0.0,0.0,2.4092727,1.0205053,4.129428,0.0,0.0,1.8457339,0.0,4.2002206,0.14891393,0.0,2.8119047,2.0642235,0.0,1.5853221,0.7150378,0.17855336,3.9908202,0.0,0.0,0.0,4.179559,0.0,1.96727,0.0,1.6464963,0.0,0.056156497
L00052,0,2.8589432,0.12618977,3.0732658,0.0,0.0,1.8792809,0.90903854,3.9195175,0.0,0.0,1.440906,0.0,4.04567,0.11299442,0.0,2.7424011,1.9114412,0.0,1.3101976,0.6407254,0.0053224713,3.48306,0.0,0.0,0.012413047,3.7454233,0.0,1.9163605,0.0,1.6169393,0.0,0.046979595
L00053,0,2.934923,0.25395015,2.788098,0.0,0.0,2.042164,0.87383723,3.8049254,0.0,0.0,1.5546031,0.0,3.6209476,0.06282951,0.0,2.3187206,1.8180538,0.0,1.428119,0.62900436,0.0444746,3.6195424,0.0,0.0,0.019747138,3.7027826,0.0,1.6940188,0.0,1.4781036,0.0,0.18007986
L00054,0,2.9636073,0.2121641,2.853164,0.0,0.0,2.0551786,0.8378074,3.8801134,0.0,0.0,1.4344339,0.0,3.7078469,0.17134936,0.0,2.2320287,1.7896907,0.0,1.4476597,0.6272452,0.11530329,3.7233467,0.0,0.0,0.06377026,3.7697587,0.0,1.6239672,0.05971089,1.456183,0.0,0.23607302
L00055,0,2.424989,0.2707808,2.3443935,0.0,0.0,1.7596114,0.77279675,3.270828,0.0,0.0,1.2979559,0.0,3.1956637,0.0324523,0.0,2.0538898,1.5444785,0.0,1.2681029,0.5698862,0.060737446,3.0811043,0.0,0.0,0.0018361807,3.1695757,0.0,1.5009146,0.0,1.3229096,0.0,0.197384
L00056,0,2.7552416,0.47179663,2.5861166,0.0,0.0,1.7444983,0.9001117,3.4472833,0.0,0.0,1.4253881,0.0,3.2453105,0.0,0.0,2.248381,1.7054849,0.0,1.239068,0.6626666,0.0,3.3325691,0.0,0.0,0.0,3.303843,0.0,1.6526002,0.0,1.4870641,0.0,0.21980314
L00057,0,3.542513,0.2014769,3.4237764,0.0,0.0,2.6186821,1.1097901,4.618778,0.0,0.0,2.0457702,0.0,4.636764,0.07065959,0.0,3.1059723,2.313461,0.0,1.7364478,0.806723,0.042078435,4.436255,0.0,0.0,0.0,4.690862,0.0,2.140537,0.0,1.8578329,0.0,0.11768895
L00058,0,2.9396656,0.23050857,2.8427346,0.0,0.0,2.1372058,0.87444615,3.7264538,0.0,0.0,1.5289357,0.0,3.6110704,0.15792395,0.0,2.225138,1.8395224,0.01709643,1.4101405,0.63328135,0.1238523,3.6212182,0.0,0.0,0.042754315,3.7167568,0.0,1.6902237,0.0,1.4112568,0.0,0.16867469
L00059,0,3.236382,0.2837709,3.0205483,0.0,0.0,2.252438,0.97937703,4.1967497,0.0,0.0,1.7534212,0.0,3.970051,0.0,0.0,2.5401337,2.0096364,0.0,1.5821736,0.69647014,0.0,4.00559,0.0,0.0,0.0,4.064601,0.0,1.8535686,0.0,1.6338425,0.0,0.23059909
L00060,0,2.003766,0.31661582,1.9853263,0.0,0.0,1.2963072,0.6229949,2.678602,0.0,0.0,1.0758376,0.0,2.5723069,0.0,0.0,1.7406157,1.3304003,0.0,0.9992009,0.5137405,0.019028261,2.4355934,0.0,0.0,0.0,2.5665321,0.0,1.3006458,0.0,1.1374104,0.0,0.10293032
L00061,0,1.8771029,0.4298273,1.8771925,0.0,0.0,1.239155,0.67472756,2.4923415,0.0,0.0,1.104177,0.0,2.341329,0.0,0.0,1.6833488,1.3075655,0.0,0.96949804,0.5716603,0.0,2.2997868,0.0,0.0,0.0,2.3620114,0.0,1.3000182,0.0,1.1259403,0.0,0.14612114
L00062,0,2.3476703,0.4294406,2.1754088,0.0,0.0,1.5118963,0.71499133,2.9382932,0.0,0.0,1.2204553,0.0,2.7154474,0.0070284456,0.0,1.8140898,1.4064852,0.0,1.0736477,0.5359209,0.008188948,2.9267807,0.0,0.0,0.0,2.8011756,0.0,1.383105,0.0,1.2572694,0.0,0.19875358
L00063,0,2.4192984,0.2947016,2.4691782,0.0,0.0,1.5132679,0.72141486,3.128898,0.0,0.0,1.1132581,0.0,3.008783,0.19231875,0.0,1.9537973,1.4773052,0.03804639,1.1204678,0.5270121,0.18604876,2.941193,0.0,0.0,0.044389345,3.0285134,0.0,1.3366275,0.10084051,1.311501,0.0,0.2176004
L00064,0,3.1293862,0.0701825,3.0166523,0.0,0.0,2.2275653,0.7576885,4.03265,0.0,0.0,1.4323716,0.0,3.9972348,0.47085774,0.0,2.292073,1.8494602,0.24602866,1.4413583,0.5485778,0.4017241,3.9192228,0.0,0.0,0.18825975,4.08246,0.0,1.6403642,0.1443493,1.3922056,0.0,0.10507966
L00065,0,1.9530962,0.47426558,1.9435513,0.0,0.0,1.2825216,0.7200136,2.5783513,0.0,0.0,1.1556914,0.0,2.4134777,0.0,0.0,1.7825714,1.3657844,0.0,0.99379396,0.6119346,0.0,2.3989773,0.0,0.0,0.0,2.447864,0.0,1.3625664,0.0,1.176609,0.0,0.16371357
L00066,0,3.0122411,0.40510556,2.815187,0.0,0.0,2.0391877,0.9522474,3.8305833,0.0,0.0,1.6329638,0.0,3.5722997,0.0,0.0,2.3864374,1.898555,0.0,1.4442344,0.7039915,0.0,3.6809042,0.0,0.0,0.0,3.7321663,0.0,1.7422892,0.0,1.5520506,0.0,0.23360667
L00067,0,3.14201,0.17623684,3.0402453,0.0,0.0,2.1574535,0.8228605,4.089835,0.0,0.0,1.5218027,0.0,3.9872305,0.222582,0.0,2.3851118,1.8749812,0.084976494,1.4712749,0.57592374,0.18647663,3.9189131,0.0,0.0,0.0977102,4.011281,0.0,1.7126472,0.06478047,1.5315833,0.0,0.1823599
L00068,0,2.3764484,0.3596474,2.341614,0.0,0.0,1.6075939,0.7737242,3.130284,0.0,0.0,1.3203883,0.0,3.0046265,0.0,0.0,2.0517907,1.5713315,0.0,1.1959026,0.6019816,0.0,2.905209,0.0,0.0,0.0,3.037274,0.0,1.5025125,0.0,1.3362336,0.0,0.15947965
L00069,0,2.181797,0.48032108,2.0336523,0.0,0.0,1.393735,0.7447834,2.7294347,0.0,0.0,1.1809803,0.0,2.4998846,0.0,0.0,1.7441581,1.3865521,0.0,1.0511887,0.5868762,0.0,2.6176522,0.0,0.0,0.0,2.6192226,0.0,1.336476,0.0,1.1917517,0.0,0.21188527
L00070,0,2.7183242,0.24769714,2.6279051,0.0,0.0,1.874743,0.8077533,3.548139,0.0,0.0,1.3968834,0.0,3.369651,0.10097997,0.0,2.1111393,1.6981802,0.0,1.3196106,0.5989738,0.06266563,3.3471894,0.0,0.0,0.0378721,3.4215593,0.0,1.56573,0.0,1.3683908,0.0,0.1722959
L00071,0,1.850544,0.3251853,1.7488315,0.0,0.0,1.3216863,0.61152,2.456903,0.0,0.0,0.93296325,0.0,2.4626436,0.09966679,0.0,1.5584524,1.1114217,0.0,0.9765102,0.45526922,0.10964288,2.427044,0.0,0.0,0.0,2.4517264,0.0,1.1925905,0.03171423,1.0598276,0.0,0.12773263
L00072,0,3.0737019,0.2599911,3.124782,0.0,0.0,2.0756829,0.98353493,4.093904,0.0,0.0,1.6302968,0.0,3.9954746,0.0,0.0,2.6148121,2.0533366,0.0,1.4700413,0.7743517,0.0,3.8775105,0.0,0.0,0.0,3.9414005,0.0,1.919252,0.0,1.6438999,0.0,0.22637624
L00073,0,2.9614651,0.31780457,2.761342,0.0,0.0,2.1011782,0.9568658,3.7969997,0.0,0.0,1.6923444,0.0,3.6398704,0.0,0.0,2.458979,1.8854921,0.0,1.4619334,0.69561005,0.0,3.6619608,0.0,0.0,0.0,3.7596483,0.0,1.77286,0.0,1.5396578,0.0,0.16844259
L00074,0,2.5787077,0.41431773,2.377921,0.0,0.0,1.740327,0.83078825,3.2410924,0.0,0.0,1.4093102,0.0,2.993872,0.0,0.0,1.9978291,1.5946046,0.0,1.2520924,0.61805016,0.0,3.1422434,0.0,0.0,0.0,3.1506233,0.0,1.5069324,0.0,1.3496134,0.0,0.2207974
L00075,0,2.064994,0.33641347,2.0479724,0.0,0.0,1.2931045,0.63612354,2.6988585,0.0,0.0,1.0298934,0.0,2.5547903,0.017017052,0.0,1.7320828,1.3396239,0.0,0.97872704,0.5097818,0.0,2.4867055,0.0,0.0,0.0042285845,2.5904841,0.0,1.2729424,0.0,1.1378417,0.0,0.117029056
L00076,0,2.5951324,0.37217203,2.4843173,0.0,0.0,1.8228036,0.85029304,3.3724988,0.0,0.0,1.4936243,0.0,3.237912,0.0,0.0,2.2400477,1.70524,0.0,1.3011494,0.6577506,0.0,3.1984901,0.0,0.0,0.0,3.3353815,0.0,1.6134841,0.0,1.4339627,0.0,0.14646055
L00077,0,2.8303976,0.24323314,2.8196607,0.0,0.0,1.9584533,0.88105416,3.7957406,0.0,0.0,1.5213267,0.0,3.694662,0.0,0.0,2.4217162,1.8437223,0.0,1.404247,0.6494227,0.0,3.5167894,0.0,0.0,0.0,3.6334987,0.0,1.7527419,0.0,1.5302465,0.0,0.18117204
L00078,0,2.8800995,0.21096057,2.8218737,0.0,0.0,2.0462408,0.8035432,3.6612895,0.0,0.0,1.276928,0.0,3.587024,0.35385984,0.0,2.1601434,1.7162664,0.132267,1.3139269,0.5816803,0.25609893,3.4948235,0.0,0.0,0.14261916,3.6679564,0.0,1.5377785,0.058324933,1.3340428,0.0,0.11374627
L00079,0,3.2801182,0.3181285,3.0975802,0.0,0.0,2.265796,1.0223229,4.124987,0.0,0.0,1.7508298,0.0,3.97728,0.022464857,0.0,2.6462288,2.055074,0.0,1.5265269,0.72384906,0.0,4.0152993,0.0,0.0,0.0011171624,4.094739,0.0,1.8884199,0.0,1.6354461,0.0,0.199626
L00080,0,2.6192896,0.10732067,2.5777054,0.0,0.0,1.8481435,0.67878675,3.4980273,0.0,0.0,1.1341197,0.0,3.5094006,0.38195634,0.0,2.0683842,1.5586733,0.12863743,1.2482612,0.49140164,0.36227387,3.277244,0.0,0.0,0.1367433,3.4859471,0.0,1.441173,0.11553097,1.2671795,0.0,0.082283646
