cell_id,city,lat_min,lat_max,lon_min,lon_max,center_lat,center_lon,is_syndicate_hub,atm_count,dist_hub_km,dist_atm_km,is_urban,hist_withdrawal_count_30d,hist_withdrawal_amount_30d,hist_unique_cases,avg_withdrawal_amount,weekend_ratio,peak_hour,city_complaints,historical_withdrawal_count,historical_withdrawal_amount,recent_7d_count,is_high_risk,nearest_atms,model_probability,dbscan_cluster_weight,historical_density,final_score
CELL_0207,Jamtara,23.96,23.98,86.8,86.82,23.97,86.81,1,1,1.1,1.23,0,10,135500.0,4,13550.0,0.3,15,36,51,643500.0,6,1,['ATM_034'],0.9184,0.7699,0.2073,0.7316
CELL_0402,Nellore,14.44,14.46,79.96,79.98,14.45,79.97,1,2,1.96,0.81,1,32,401000.0,14,12531.25,0.34,16,46,84,991000.0,19,1,"['ATM_114', 'ATM_117']",0.9976,0.5466,0.3415,0.7311
CELL_0393,Nellore,14.4,14.42,79.98,80.0,14.41,79.99,1,1,3.64,0.88,1,20,267500.0,10,13375.0,0.0,10,46,50,610000.0,10,1,['ATM_119'],0.9287,0.7461,0.2033,0.7288
CELL_0136,Gurugram,28.48,28.5,77.04,77.06,28.49,77.05,1,1,4.09,0.96,0,16,207000.0,9,12937.5,0.25,0,41,38,468500.0,5,1,['ATM_004'],0.9594,0.7269,0.1545,0.7287
CELL_0152,Hyderabad,17.34,17.36,78.44,78.46,17.35,78.45,1,1,5.51,0.78,1,32,373000.0,15,11656.25,0.12,21,40,60,713500.0,0,0,['ATM_074'],0.8956,0.77,0.2439,0.7276
CELL_0295,Mewat,28.08,28.1,76.98,77.0,28.09,76.99,1,3,2.17,0.57,1,47,509000.0,23,10829.79,0.36,9,34,99,1130000.0,7,1,"['ATM_043', 'ATM_047', 'ATM_051']",0.9994,0.4861,0.4024,0.726
CELL_0181,Hyderabad,17.42,17.44,78.46,78.48,17.43,78.47,1,1,5.31,1.34,0,25,313000.0,11,12520.0,0.52,0,40,43,504500.0,7,1,['ATM_082'],0.9809,0.6387,0.1748,0.717
CELL_0413,Nellore,14.48,14.5,79.98,80.0,14.49,79.99,1,1,5.28,1.11,1,27,330000.0,12,12222.22,0.11,20,46,57,678000.0,9,1,['ATM_118'],0.9227,0.6908,0.2317,0.7149
CELL_0202,Jamtara,23.94,23.96,86.78,86.8,23.95,86.79,1,2,1.91,0.86,0,45,523000.0,20,11622.22,0.13,22,36,97,1112000.0,6,1,"['ATM_031', 'ATM_032']",0.9888,0.4663,0.3943,0.7132
CELL_0425,Noida,28.5,28.52,77.38,77.4,28.51,77.39,1,2,2.84,0.87,0,59,676500.0,28,11466.1,0.25,12,39,103,1175500.0,9,1,"['ATM_020', 'ATM_029']",0.9965,0.432,0.4187,0.7116
CELL_0115,Gurugram,28.42,28.44,76.98,77.0,28.43,76.99,1,1,4.85,0.9,0,18,232000.0,7,12888.89,0.0,3,41,39,470500.0,3,1,['ATM_010'],0.9128,0.7418,0.1585,0.7106
CELL_0161,Hyderabad,17.36,17.38,78.48,78.5,17.37,78.49,1,1,1.7,0.87,1,18,206000.0,9,11444.44,0.17,18,40,50,531500.0,6,1,['ATM_077'],0.8753,0.7477,0.2033,0.7026
CELL_0230,Kolar,13.12,13.14,78.14,78.16,13.13,78.15,1,1,2.0,0.58,0,22,273000.0,9,12409.09,0.64,10,34,48,591000.0,3,1,['ATM_108'],0.9843,0.5683,0.1951,0.7017
CELL_0341,Mumbai,19.02,19.04,72.9,72.92,19.03,72.91,0,1,616.75,0.1,1,11,149000.0,5,13545.45,0.64,2,41,14,194000.0,3,1,['ATM_126'],0.7951,0.9674,0.0569,0.6991
CELL_0167,Hyderabad,17.38,17.4,78.46,78.48,17.39,78.47,1,1,1.86,0.81,1,15,151500.0,7,10100.0,0.2,1,40,41,435500.0,16,1,['ATM_078'],0.8906,0.7327,0.1667,0.6984
CELL_0431,Noida,28.52,28.54,77.36,77.38,28.53,77.37,1,1,2.14,0.72,0,31,348500.0,15,11241.94,0.32,16,39,55,613500.0,6,1,['ATM_017'],0.9547,0.5857,0.2236,0.6978
CELL_0004,Bengaluru,12.9,12.92,77.58,77.6,12.91,77.59,1,1,6.87,0.41,1,13,146000.0,6,11230.77,0.38,12,33,22,258000.0,4,1,['ATM_056'],0.9156,0.7394,0.0894,0.6975
CELL_0079,Chennai,13.06,13.08,80.34,80.36,13.07,80.35,1,1,8.7,0.68,1,25,283500.0,13,11340.0,0.2,7,30,52,622500.0,5,1,['ATM_090'],0.8316,0.7976,0.2114,0.6974
CELL_0349,Mumbai,19.06,19.08,72.82,72.84,19.07,72.83,0,1,626.08,0.45,0,5,61500.0,2,12300.0,1.0,19,41,14,159500.0,7,1,['ATM_133'],0.8524,0.8598,0.0569,0.6955
CELL_0175,Hyderabad,17.4,17.42,78.48,78.5,17.41,78.49,1,2,2.8,1.13,1,32,347000.0,15,10843.75,0.25,21,40,80,898500.0,14,1,"['ATM_075', 'ATM_083']",0.9869,0.4527,0.3252,0.6943
CELL_0399,Nellore,14.42,14.44,80.0,80.02,14.43,80.01,1,2,2.89,0.4,1,31,369500.0,15,11919.35,0.29,4,46,108,1268500.0,23,1,"['ATM_113', 'ATM_115']",0.998,0.3531,0.439,0.6927
CELL_0299,Mewat,28.1,28.12,76.96,76.98,28.11,76.97,1,2,2.45,1.07,1,22,273500.0,12,12431.82,0.27,12,34,69,800500.0,11,1,"['ATM_048', 'ATM_052']",0.9853,0.462,0.2805,0.6874
CELL_0030,Bengaluru,12.96,12.98,77.56,77.58,12.97,77.57,1,1,2.67,1.06,1,18,194000.0,9,10777.78,0.5,7,33,44,487000.0,0,0,['ATM_065'],0.9191,0.6296,0.1789,0.6842
CELL_0029,Bengaluru,12.96,12.98,77.54,77.56,12.97,77.55,1,1,4.84,0.78,0,19,176500.0,9,9289.47,0.26,0,33,29,296500.0,5,1,['ATM_059'],0.8585,0.7705,0.1179,0.684
CELL_0065,Chennai,13.04,13.06,80.22,80.24,13.05,80.23,1,1,5.71,1.02,1,21,235000.0,9,11190.48,0.43,1,30,36,405000.0,6,1,['ATM_095'],0.9051,0.6603,0.1463,0.6799
CELL_0067,Chennai,13.04,13.06,80.26,80.28,13.05,80.27,1,1,3.64,1.04,1,15,164000.0,7,10933.33,0.47,11,30,44,511500.0,2,0,['ATM_099'],0.8755,0.684,0.1789,0.6787
CELL_0170,Hyderabad,17.38,17.4,78.52,78.54,17.39,78.53,1,1,4.63,0.3,0,35,442500.0,16,12642.86,0.34,2,40,59,717000.0,12,1,['ATM_071'],0.987,0.4466,0.2398,0.6754
CELL_0160,Hyderabad,17.36,17.38,78.46,78.48,17.37,78.47,1,1,2.43,1.12,1,21,240000.0,10,11428.57,0.33,5,40,51,599000.0,8,1,['ATM_085'],0.937,0.5486,0.2073,0.6745
CELL_0022,Bengaluru,12.94,12.96,77.58,77.6,12.95,77.59,1,1,2.45,0.73,1,19,206000.0,8,10842.11,0.37,1,33,28,314000.0,4,1,['ATM_069'],0.9191,0.6396,0.1138,0.6742
CELL_0025,Bengaluru,12.94,12.96,77.64,77.66,12.95,77.65,1,1,6.47,1.07,0,23,274500.0,9,11934.78,0.13,5,33,42,505000.0,0,0,['ATM_068'],0.8567,0.6997,0.1707,0.6724
CELL_0050,Bengaluru,13.0,13.02,77.6,77.62,13.01,77.61,1,1,4.58,0.96,0,19,204000.0,9,10736.84,0.16,2,33,45,497500.0,9,1,['ATM_060'],0.8337,0.7253,0.1829,0.671
CELL_0203,Jamtara,23.94,23.96,86.8,86.82,23.95,86.81,1,1,1.57,1.01,0,11,119500.0,7,10863.64,0.36,3,36,30,353500.0,0,0,['ATM_041'],0.9149,0.6001,0.122,0.6619
CELL_0101,Coimbatore,11.0,11.02,76.94,76.96,11.01,76.95,0,1,229.11,0.69,0,19,243000.0,9,12789.47,0.11,5,46,36,443000.0,6,1,['ATM_146'],0.8673,0.6544,0.1463,0.6592
CELL_0044,Bengaluru,12.98,13.0,77.66,77.68,12.99,77.67,1,1,8.42,0.58,1,18,196500.0,8,10916.67,0.17,12,33,34,386500.0,3,1,['ATM_063'],0.8203,0.7265,0.1382,0.6557
CELL_0339,Mumbai,19.02,19.04,72.86,72.88,19.03,72.87,0,2,620.79,0.55,1,12,142000.0,5,11833.33,0.25,7,41,22,275500.0,3,1,"['ATM_123', 'ATM_128']",0.7735,0.8309,0.0894,0.6539
CELL_0032,Bengaluru,12.96,12.98,77.6,77.62,12.97,77.61,1,1,1.68,0.8,1,29,341000.0,14,11758.62,0.17,3,33,60,739500.0,7,1,['ATM_058'],0.8838,0.5374,0.2439,0.6519
CELL_0433,Noida,28.52,28.54,77.4,77.42,28.53,77.41,1,1,1.95,0.88,1,32,353000.0,16,11031.25,0.31,9,39,50,551500.0,6,1,['ATM_024'],0.9409,0.4584,0.2033,0.6486
CELL_0229,Kolar,13.12,13.14,78.12,78.14,13.13,78.13,1,1,0.69,0.75,1,26,309500.0,12,11903.85,0.0,4,34,43,508500.0,1,0,['ATM_109'],0.8183,0.6766,0.1748,0.6471
CELL_0438,Noida,28.54,28.56,77.36,77.38,28.55,77.37,1,1,2.61,1.0,1,36,411000.0,16,11416.67,0.22,5,39,60,687500.0,6,1,['ATM_018'],0.9357,0.4322,0.2439,0.6463
CELL_0035,Bengaluru,12.96,12.98,77.66,77.68,12.97,77.67,1,1,8.17,0.54,1,18,193500.0,10,10750.0,0.28,23,33,39,436000.0,0,0,['ATM_057'],0.8336,0.655,0.1585,0.645
CELL_0168,Hyderabad,17.38,17.4,78.48,78.5,17.39,78.49,1,1,0.66,0.89,0,16,163500.0,7,10218.75,0.38,9,40,38,411000.0,7,1,['ATM_076'],0.9435,0.464,0.1545,0.6418
CELL_0345,Mumbai,19.04,19.06,72.86,72.88,19.05,72.87,0,2,621.41,0.47,1,15,177500.0,7,11833.33,0.47,2,41,23,259500.0,0,0,"['ATM_121', 'ATM_131']",0.9055,0.5652,0.0935,0.641
CELL_0066,Chennai,13.04,13.06,80.24,80.26,13.05,80.25,1,1,4.27,0.9,1,16,193500.0,8,12093.75,0.31,1,30,33,391500.0,7,1,['ATM_086'],0.8791,0.5796,0.1341,0.6402
CELL_0105,Coimbatore,11.02,11.04,76.94,76.96,11.03,76.95,0,1,226.99,1.23,0,16,209500.0,9,13093.75,0.19,7,46,48,588500.0,11,1,['ATM_145'],0.8418,0.5993,0.1951,0.6397
CELL_0437,Noida,28.54,28.56,77.34,77.36,28.55,77.35,1,2,4.32,0.71,1,33,383500.0,18,11621.21,0.21,1,39,78,893000.0,7,1,"['ATM_019', 'ATM_025']",0.9933,0.26,0.3171,0.6381
CELL_0039,Bengaluru,12.98,13.0,77.56,77.58,12.99,77.57,1,1,3.36,0.91,1,19,220000.0,11,11578.95,0.42,23,33,39,464500.0,3,1,['ATM_061'],0.8885,0.5375,0.1585,0.6372
CELL_0256,Kolkata,22.54,22.56,88.36,88.38,22.55,88.37,0,1,224.27,0.89,0,4,54000.0,2,13500.0,0.0,3,43,15,160000.0,0,0,['ATM_138'],0.7119,0.8903,0.061,0.6352
CELL_0038,Bengaluru,12.98,13.0,77.54,77.56,12.99,77.55,1,1,5.25,1.02,0,22,259000.0,11,11772.73,0.14,10,33,44,486000.0,2,0,['ATM_070'],0.8351,0.5974,0.1789,0.6326
CELL_0228,Kolar,13.12,13.14,78.1,78.12,13.13,78.11,1,1,2.52,0.87,0,26,336000.0,13,12923.08,0.35,6,34,55,706000.0,9,1,['ATM_100'],0.9567,0.3628,0.2236,0.6319
CELL_0068,Chennai,13.04,13.06,80.28,80.3,13.05,80.29,1,1,4.19,0.7,0,16,172000.0,8,10750.0,0.19,2,30,28,314000.0,0,0,['ATM_092'],0.8282,0.6274,0.1138,0.6251
CELL_0426,Noida,28.5,28.52,77.4,77.42,28.51,77.41,1,1,3.39,1.11,0,14,167500.0,8,11964.29,0.5,2,39,50,590000.0,9,1,['ATM_027'],0.9693,0.3212,0.2033,0.6217
CELL_0424,Noida,28.5,28.52,77.36,77.38,28.51,77.37,1,1,3.5,1.17,0,32,396500.0,16,12390.62,0.22,7,39,42,528500.0,5,1,['ATM_023'],0.9438,0.3739,0.1707,0.6182
CELL_0401,Nellore,14.44,14.46,79.94,79.96,14.45,79.95,1,1,4.02,0.84,0,18,240500.0,9,13361.11,0.06,7,46,60,694000.0,4,1,['ATM_112'],0.955,0.2903,0.2439,0.6134
CELL_0129,Gurugram,28.46,28.48,77.02,77.04,28.47,77.03,1,1,1.21,0.68,1,18,212500.0,9,11805.56,0.22,21,41,36,427000.0,0,0,['ATM_001'],0.9169,0.4188,0.1463,0.6133
CELL_0296,Mewat,28.08,28.1,77.0,77.02,28.09,77.01,1,1,2.57,1.04,0,24,310000.0,11,12916.67,0.21,9,34,35,441000.0,4,1,['ATM_045'],0.9138,0.4102,0.1423,0.6084
CELL_0047,Bengaluru,13.0,13.02,77.54,77.56,13.01,77.55,1,1,6.45,0.72,0,11,113500.0,6,10318.18,0.09,2,33,25,284000.0,0,0,['ATM_062'],0.7731,0.6605,0.1016,0.605
CELL_0083,Chennai,13.08,13.1,80.26,80.28,13.09,80.27,1,1,0.82,0.68,1,20,262000.0,10,13100.0,0.1,10,30,43,529500.0,3,1,['ATM_094'],0.8254,0.4896,0.1748,0.5945
CELL_0210,Jamtara,23.98,24.0,86.78,86.8,23.99,86.79,1,1,3.33,0.63,0,28,347500.0,15,12410.71,0.14,5,36,38,476500.0,1,0,['ATM_042'],0.931,0.3203,0.1545,0.5925
CELL_0217,Kochi,9.94,9.96,76.26,76.28,9.95,76.27,0,1,365.68,0.6,1,25,322500.0,14,12900.0,0.24,3,37,43,551000.0,1,0,['ATM_149'],0.6702,0.7332,0.1748,0.59
CELL_0359,Mumbai,19.08,19.1,72.9,72.92,19.09,72.91,0,2,618.67,0.48,1,10,121000.0,5,12100.0,0.0,0,41,18,220500.0,0,0,"['ATM_122', 'ATM_130']",0.6274,0.8598,0.0732,0.5863
CELL_0012,Bengaluru,12.92,12.94,77.56,77.58,12.93,77.57,1,1,5.34,1.31,1,27,298000.0,12,11037.04,0.15,8,33,35,370500.0,3,1,['ATM_064'],0.7722,0.5492,0.1423,0.5793
CELL_0306,Mewat,28.12,28.14,77.0,77.02,28.13,77.01,1,1,2.76,0.88,1,7,65000.0,5,9285.71,0.43,1,34,32,353500.0,5,1,['ATM_044'],0.8696,0.391,0.1301,0.5781
CELL_0090,Chennai,13.1,13.12,80.24,80.26,13.11,80.25,1,1,3.77,1.14,0,17,199000.0,10,11705.88,0.12,1,30,46,520500.0,8,1,['ATM_091'],0.7696,0.5196,0.187,0.5781
CELL_0440,Noida,28.54,28.56,77.4,77.42,28.55,77.41,1,1,2.46,0.85,1,11,108500.0,5,9863.64,0.36,20,39,31,330000.0,5,1,['ATM_030'],0.8802,0.3631,0.126,0.5742
CELL_0081,Chennai,13.08,13.1,80.22,80.24,13.09,80.23,1,1,4.48,0.65,1,8,98500.0,4,12312.5,0.0,7,30,45,523500.0,12,1,['ATM_097'],0.6849,0.6436,0.1829,0.5721
CELL_0085,Chennai,13.08,13.1,80.3,80.32,13.09,80.31,1,1,4.33,0.79,0,9,110500.0,6,12277.78,0.11,1,30,43,509000.0,13,1,['ATM_089'],0.8017,0.4507,0.1748,0.571
CELL_0310,Mewat,28.14,28.16,76.98,77.0,28.15,76.99,1,1,4.59,0.91,1,20,223000.0,12,11150.0,0.4,3,34,54,612000.0,8,1,['ATM_054'],0.919,0.2194,0.2195,0.5692
CELL_0277,Kolkata,22.62,22.64,88.3,88.32,22.63,88.31,0,1,213.64,0.27,1,7,59000.0,3,8428.57,0.14,20,43,14,148000.0,4,1,['ATM_143'],0.5628,0.9144,0.0569,0.5671
CELL_0199,Jamtara,23.92,23.94,86.8,86.82,23.93,86.81,1,1,3.69,1.21,1,2,25500.0,2,12750.0,0.0,7,36,22,250000.0,0,0,['ATM_038'],0.6959,0.6681,0.0894,0.5663
CELL_0434,Noida,28.52,28.54,77.42,77.44,28.53,77.43,1,1,3.86,1.13,1,13,138000.0,7,10615.38,0.31,6,39,33,367500.0,1,0,['ATM_016'],0.8895,0.2395,0.1341,0.5434
CELL_0314,Mumbai,18.94,18.96,72.84,72.86,18.95,72.85,0,1,620.39,1.42,0,7,69000.0,4,9857.14,1.0,3,41,11,112500.0,0,0,['ATM_132'],0.6919,0.6237,0.0447,0.542
CELL_0013,Bengaluru,12.92,12.94,77.58,77.6,12.93,77.59,1,1,4.65,1.16,0,10,116500.0,7,11650.0,0.0,2,33,24,284000.0,2,0,['ATM_066'],0.6927,0.5812,0.0976,0.5402
CELL_0274,Kolkata,22.6,22.62,88.36,88.38,22.61,88.37,0,1,219.62,0.8,1,8,105500.0,4,13187.5,0.0,23,43,9,114500.0,0,0,['ATM_137'],0.5894,0.766,0.0366,0.5318
CELL_0222,Kolar,13.1,13.12,78.1,78.12,13.11,78.11,1,1,3.76,0.91,1,15,195000.0,6,13000.0,0.0,1,34,40,466000.0,2,0,['ATM_103'],0.8111,0.2407,0.1626,0.5103
CELL_0218,Kochi,9.94,9.96,76.28,76.3,9.95,76.29,0,1,364.82,0.83,0,21,250000.0,8,11904.76,0.14,1,37,37,439000.0,6,1,['ATM_150'],0.5521,0.649,0.1504,0.5008
CELL_0263,Kolkata,22.56,22.58,88.38,88.4,22.57,88.39,0,1,224.18,1.01,1,6,76000.0,3,12666.67,0.0,19,43,11,140000.0,0,0,['ATM_141'],0.5212,0.7136,0.0447,0.4836
CELL_0447,Noida,28.56,28.58,77.4,77.42,28.57,77.41,1,1,4.26,1.13,1,7,84500.0,3,12071.43,0.0,9,39,32,379000.0,13,1,['ATM_028'],0.7549,0.203,0.1301,0.4644
CELL_0262,Kolkata,22.56,22.58,88.36,88.38,22.57,88.37,0,1,222.71,1.11,1,6,55500.0,3,9250.0,0.17,8,43,12,125500.0,0,0,['ATM_135'],0.5175,0.6214,0.0488,0.4549
CELL_0344,Mumbai,19.04,19.06,72.84,72.86,19.05,72.85,0,1,623.43,1.08,1,3,38500.0,2,12833.33,0.67,18,41,9,108500.0,0,0,['ATM_124'],0.4767,0.6968,0.0366,0.4547
CELL_0213,Kochi,9.92,9.94,76.24,76.26,9.93,76.25,0,1,368.58,1.09,1,12,119000.0,6,9916.67,0.17,2,37,30,319500.0,0,0,['ATM_148'],0.285,0.6948,0.122,0.3753
CELL_0370,Mumbai,19.12,19.14,72.88,72.9,19.13,72.89,0,1,621.98,1.09,1,3,41000.0,1,13666.67,0.0,0,41,10,110000.0,4,1,['ATM_125'],0.1268,0.6943,0.0407,0.2798
CELL_0368,Mumbai,19.12,19.14,72.84,72.86,19.13,72.85,0,1,626.0,0.96,1,8,82000.0,3,10250.0,0.0,21,41,8,82000.0,0,0,['ATM_129'],0.0478,0.7256,0.0325,0.2481
CELL_0082,Chennai,13.08,13.1,80.24,80.26,13.09,80.25,1,0,2.38,1.19,0,0,0.0,0,0.0,0.0,15,30,0,0.0,0,0,"['ATM_091', 'ATM_097', 'ATM_094']",0.0082,0.7007,0.0,0.2143
CELL_0414,Nellore,14.48,14.5,80.0,80.02,14.49,80.01,1,0,5.85,1.27,0,0,0.0,0,0.0,0.0,15,46,0,0.0,0,0,"['ATM_118', 'ATM_113', 'ATM_117']",0.0323,0.6558,0.0,0.2129
CELL_0176,Hyderabad,17.4,17.42,78.5,78.52,17.41,78.51,1,0,3.72,1.25,0,0,0.0,0,0.0,0.0,15,40,0,0.0,0,0,"['ATM_083', 'ATM_075', 'ATM_073']",0.0193,0.6722,0.0,0.2113
CELL_0134,Gurugram,28.48,28.5,77.0,77.02,28.49,77.01,1,0,3.76,1.21,0,0,0.0,0,0.0,0.0,15,41,0,0.0,0,0,"['ATM_011', 'ATM_001', 'ATM_004']",0.0218,0.6674,0.0,0.2111
CELL_0377,Mumbai,19.14,19.16,72.9,72.92,19.15,72.91,0,1,620.64,0.58,1,4,47000.0,2,11750.0,0.0,0,41,4,47000.0,0,0,['ATM_127'],0.1234,0.482,0.0163,0.2096
CELL_0388,Nellore,14.38,14.4,79.98,80.0,14.39,79.99,1,0,5.86,1.35,0,0,0.0,0,0.0,0.0,15,46,0,0.0,0,0,"['ATM_119', 'ATM_116', 'ATM_115']",0.0304,0.6386,0.0,0.2068
