txn_id,sender_id,receiver_id,amount,timestamp,channel,is_fraud,victim_id,txn_hour
TXN_02321,VACC_0418,M00175,40999,2026-06-02 00:01:00,UPI,1,VIC_0418,0
TXN_02533,VACC_0452,M00069,50999,2026-06-02 00:05:00,UPI,1,VIC_0452,0
TXN_02322,VACC_0418,M00175,75000,2026-06-02 00:12:00,NEFT,1,VIC_0418,0
TXN_02323,VACC_0418,M00140,10999,2026-06-02 00:17:00,UPI,1,VIC_0418,0
TXN_03471,M00188,M00013,15000,2026-06-02 00:29:00,UPI,1,,0
TXN_03920,L00670,L00324,11198,2026-06-02 00:58:49,UPI,0,,0
TXN_01828,VACC_0329,M00062,75999,2026-06-02 01:01:00,UPI,1,VIC_0329,1
TXN_02998,M00035,M00175,60000,2026-06-02 01:10:00,UPI,1,,1
TXN_04429,L00308,L00048,11778,2026-06-02 01:27:28,IMPS,0,,1
TXN_02324,VACC_0418,M00035,25999,2026-06-02 01:29:00,UPI,1,VIC_0418,1
TXN_03401,M00053,M00193,50000,2026-06-02 01:35:00,UPI,1,,1
TXN_03862,L00973,L00449,1183,2026-06-02 01:51:31,IMPS,0,,1
TXN_02325,VACC_0418,M00070,100000,2026-06-02 02:00:00,NEFT,1,VIC_0418,2
TXN_04808,L00137,L00277,1772,2026-06-02 02:00:08,UPI,0,,2
TXN_00370,VACC_0074,M00008,50000,2026-06-02 02:05:00,NEFT,1,VIC_0074,2
TXN_02165,VACC_0390,M00034,40999,2026-06-02 02:14:00,NEFT,1,VIC_0390,2
TXN_01829,VACC_0329,M00167,40999,2026-06-02 02:16:00,UPI,1,VIC_0329,2
TXN_02166,VACC_0390,M00104,101000,2026-06-02 02:27:00,UPI,1,VIC_0390,2
TXN_02534,VACC_0452,M00034,26000,2026-06-02 02:35:00,UPI,1,VIC_0452,2
TXN_02535,VACC_0452,M00174,75000,2026-06-02 02:50:00,UPI,1,VIC_0452,2
TXN_03718,L00602,L00805,5031,2026-06-02 02:59:39,IMPS,0,,2
TXN_04584,L00389,L00175,2181,2026-06-02 03:01:13,UPI,0,,3
TXN_02167,VACC_0390,M00174,50999,2026-06-02 03:12:00,UPI,1,VIC_0390,3
TXN_01830,VACC_0329,M00132,11000,2026-06-02 03:37:00,IMPS,1,VIC_0329,3
TXN_02536,VACC_0452,M00034,40500,2026-06-02 03:47:00,NEFT,1,VIC_0452,3
TXN_01621,VACC_0291,M00024,100999,2026-06-02 04:02:00,UPI,1,VIC_0291,4
TXN_00503,VACC_0097,M00045,75500,2026-06-02 04:12:00,NEFT,1,VIC_0097,4
TXN_03940,L00947,L00996,1694,2026-06-02 04:12:02,UPI,0,,4
TXN_02326,VACC_0418,M00175,20999,2026-06-02 04:14:00,UPI,1,VIC_0418,4
TXN_01622,VACC_0291,M00094,100999,2026-06-02 04:20:00,UPI,1,VIC_0291,4
TXN_02168,VACC_0390,M00174,40999,2026-06-02 04:32:00,UPI,1,VIC_0390,4
TXN_01623,VACC_0291,M00024,10500,2026-06-02 04:51:00,UPI,1,VIC_0291,4
TXN_02537,VACC_0452,M00174,40000,2026-06-02 05:31:00,NEFT,1,VIC_0452,5
TXN_04719,L00104,L00442,1862,2026-06-02 05:39:04,UPI,0,,5
TXN_01624,VACC_0291,M00094,25500,2026-06-02 05:40:00,IMPS,1,VIC_0291,5
TXN_04743,L00671,L00838,5159,2026-06-02 05:42:12,IMPS,0,,5
TXN_03169,M00052,M00157,60000,2026-06-02 05:46:00,UPI,1,,5
TXN_02941,M00073,M00143,15000,2026-06-02 05:49:00,NEFT,1,,5
TXN_04770,L00171,L00614,7989,2026-06-02 06:03:21,UPI,0,,6
TXN_03547,L00433,L00353,2401,2026-06-02 06:05:21,UPI,0,,6
TXN_02169,VACC_0390,M00174,100999,2026-06-02 06:27:00,UPI,1,VIC_0390,6
TXN_01625,VACC_0291,M00199,95500,2026-06-02 06:38:00,UPI,1,VIC_0291,6
TXN_02909,M00115,M00080,25000,2026-06-02 06:58:00,IMPS,1,,6
TXN_02170,VACC_0390,M00034,51000,2026-06-02 08:36:00,IMPS,1,VIC_0390,8
TXN_02171,VACC_0390,M00139,15999,2026-06-02 08:52:00,UPI,1,VIC_0390,8
TXN_02172,VACC_0390,M00069,21000,2026-06-02 09:56:00,UPI,1,VIC_0390,9
TXN_02173,VACC_0390,M00104,11000,2026-06-02 10:48:00,UPI,1,VIC_0390,10
TXN_01750,VACC_0318,M00062,41000,2026-06-02 14:55:00,IMPS,1,VIC_0318,14
TXN_03213,M00111,M00181,60000,2026-06-02 15:20:00,UPI,1,,15
TXN_03956,L00022,L00632,3110,2026-06-02 15:44:06,UPI,0,,15
TXN_04104,L00947,L00746,6379,2026-06-02 15:47:50,UPI,0,,15
TXN_01250,VACC_0227,M00019,41000,2026-06-02 15:48:00,NEFT,1,VIC_0227,15
TXN_01124,VACC_0202,M00018,15500,2026-06-02 15:50:00,UPI,1,VIC_0202,15
TXN_01751,VACC_0318,M00027,101000,2026-06-02 16:12:00,IMPS,1,VIC_0318,16
TXN_02973,M00043,M00008,35000,2026-06-02 16:19:00,UPI,1,,16
TXN_03481,M00083,M00013,25000,2026-06-02 16:30:00,IMPS,1,,16
TXN_03550,L00931,L00207,594,2026-06-02 16:31:14,UPI,0,,16
TXN_04311,L00887,L00795,993,2026-06-02 16:36:36,NEFT,0,,16
TXN_01054,VACC_0187,M00156,21000,2026-06-02 17:02:00,UPI,1,VIC_0187,17
TXN_03926,L00639,L00378,13818,2026-06-02 17:12:20,UPI,0,,17
TXN_01752,VACC_0318,M00097,95500,2026-06-02 17:15:00,UPI,1,VIC_0318,17
TXN_01251,VACC_0227,M00089,16000,2026-06-02 17:23:00,IMPS,1,VIC_0227,17
TXN_01055,VACC_0187,M00191,16000,2026-06-02 17:30:00,UPI,1,VIC_0187,17
TXN_03787,L00892,L00211,1704,2026-06-02 17:35:13,UPI,0,,17
TXN_01056,VACC_0187,M00086,50000,2026-06-02 17:48:00,UPI,1,VIC_0187,17
TXN_03433,M00170,M00100,35000,2026-06-02 18:43:00,IMPS,1,,18
TXN_04804,L00299,L00041,8664,2026-06-02 19:03:28,IMPS,0,,19
TXN_01615,VACC_0290,M00059,100000,2026-06-02 19:15:00,IMPS,1,VIC_0290,19
TXN_02888,M00155,M00085,25000,2026-06-02 19:19:00,UPI,1,,19
TXN_03455,M00113,M00078,25000,2026-06-02 19:21:00,IMPS,1,,19
TXN_03972,L00337,L00138,40220,2026-06-02 19:30:21,UPI,0,,19
TXN_03319,M00011,M00081,15000,2026-06-02 19:32:00,IMPS,1,,19
TXN_01616,VACC_0290,M00164,40500,2026-06-02 19:39:00,NEFT,1,VIC_0290,19
TXN_03199,M00108,M00073,60000,2026-06-02 19:42:00,IMPS,1,,19
TXN_02122,VACC_0382,M00138,75999,2026-06-02 19:48:00,NEFT,1,VIC_0382,19
TXN_01252,VACC_0227,M00054,11000,2026-06-02 19:49:00,UPI,1,VIC_0227,19
TXN_01753,VACC_0318,M00062,40500,2026-06-02 19:55:00,UPI,1,VIC_0318,19
TXN_04974,L00547,L00505,9159,2026-06-02 19:56:09,IMPS,0,,19
TXN_04048,L00415,L00948,1832,2026-06-02 20:07:32,NEFT,0,,20
TXN_04365,L00705,L00611,2178,2026-06-02 20:27:25,NEFT,0,,20
TXN_04945,L00729,L00818,1293,2026-06-02 20:30:24,NEFT,0,,20
TXN_01057,VACC_0187,M00051,50500,2026-06-02 20:33:00,NEFT,1,VIC_0187,20
TXN_00087,VACC_0019,M00110,25999,2026-06-02 20:37:00,UPI,1,VIC_0019,20
TXN_04542,L00650,L00082,17472,2026-06-02 20:43:33,UPI,0,,20
TXN_03312,M00186,M00081,60000,2026-06-02 20:55:00,IMPS,1,,20
TXN_02123,VACC_0382,M00173,50999,2026-06-02 21:00:00,UPI,1,VIC_0382,21
TXN_04669,L00445,L00492,3352,2026-06-02 21:20:57,UPI,0,,21
TXN_04539,L00313,L00417,1632,2026-06-02 21:32:51,IMPS,0,,21
TXN_01754,VACC_0318,M00062,15999,2026-06-02 21:45:00,UPI,1,VIC_0318,21
TXN_00088,VACC_0019,M00075,50000,2026-06-02 22:04:00,UPI,1,VIC_0019,22
TXN_01617,VACC_0290,M00129,40500,2026-06-02 22:08:00,UPI,1,VIC_0290,22
TXN_04611,L00912,L00740,2468,2026-06-02 22:12:22,NEFT,0,,22
TXN_03376,M00143,M00038,35000,2026-06-02 22:15:00,NEFT,1,,22
TXN_01253,VACC_0227,M00194,16000,2026-06-02 22:40:00,UPI,1,VIC_0227,22
TXN_01058,VACC_0187,M00121,16000,2026-06-02 23:08:00,IMPS,1,VIC_0187,23
TXN_04798,L00873,L00226,1100,2026-06-02 23:16:02,UPI,0,,23
TXN_01618,VACC_0290,M00199,21000,2026-06-02 23:18:00,IMPS,1,VIC_0290,23
TXN_04259,L00090,L00115,1239,2026-06-02 23:21:03,UPI,0,,23
TXN_01176,VACC_0212,M00193,25500,2026-06-02 23:39:00,UPI,1,VIC_0212,23
TXN_02124,VACC_0382,M00103,100000,2026-06-02 23:58:00,NEFT,1,VIC_0382,23
TXN_04384,L00587,L00492,2270,2026-06-02 23:58:03,UPI,0,,23
TXN_04866,L00147,L00074,2333,2026-06-03 00:04:38,UPI,0,,0
TXN_01755,VACC_0318,M00167,101000,2026-06-03 00:19:00,IMPS,1,VIC_0318,0
TXN_01756,VACC_0318,M00027,20999,2026-06-03 00:27:00,UPI,1,VIC_0318,0
TXN_03273,M00026,M00096,50000,2026-06-03 00:28:00,IMPS,1,,0
TXN_02218,VACC_0400,M00139,100500,2026-06-03 00:41:00,UPI,1,VIC_0400,0
TXN_04583,L00433,L00508,8930,2026-06-03 00:43:06,UPI,0,,0
TXN_04865,L00193,L00072,10490,2026-06-03 00:45:14,IMPS,0,,0
TXN_01619,VACC_0290,M00024,15999,2026-06-03 01:02:00,NEFT,1,VIC_0290,1
TXN_01059,VACC_0187,M00121,51000,2026-06-03 01:04:00,IMPS,1,VIC_0187,1
TXN_01177,VACC_0212,M00123,25000,2026-06-03 01:23:00,IMPS,1,VIC_0212,1
TXN_03180,M00125,M00090,60000,2026-06-03 01:26:00,UPI,1,,1
TXN_01254,VACC_0227,M00089,75500,2026-06-03 01:35:00,IMPS,1,VIC_0227,1
TXN_00442,VACC_0087,M00045,15000,2026-06-03 01:38:00,UPI,1,VIC_0087,1
TXN_03881,L00714,L00049,3218,2026-06-03 01:48:13,UPI,0,,1
TXN_01255,VACC_0227,M00019,40500,2026-06-03 01:50:00,UPI,1,VIC_0227,1
TXN_02340,VACC_0420,M00140,101000,2026-06-03 02:11:00,UPI,1,VIC_0420,2
TXN_02125,VACC_0382,M00103,20999,2026-06-03 02:15:00,UPI,1,VIC_0382,2
TXN_01620,VACC_0290,M00094,10999,2026-06-03 02:22:00,UPI,1,VIC_0290,2
TXN_03194,M00039,M00179,15000,2026-06-03 02:26:00,UPI,1,,2
TXN_01178,VACC_0212,M00053,101000,2026-06-03 02:50:00,UPI,1,VIC_0212,2
TXN_02126,VACC_0382,M00173,25999,2026-06-03 02:51:00,UPI,1,VIC_0382,2
TXN_01179,VACC_0212,M00123,26000,2026-06-03 03:10:00,UPI,1,VIC_0212,3
TXN_02219,VACC_0400,M00104,10999,2026-06-03 03:17:00,UPI,1,VIC_0400,3
TXN_00443,VACC_0087,M00150,95000,2026-06-03 03:22:00,IMPS,1,VIC_0087,3
TXN_03734,L00756,L00010,259,2026-06-03 03:26:57,UPI,0,,3
TXN_02127,VACC_0382,M00033,50500,2026-06-03 03:31:00,UPI,1,VIC_0382,3
TXN_04972,L00429,L00563,1447,2026-06-03 03:31:52,UPI,0,,3
TXN_03819,L00751,L00443,268,2026-06-03 03:48:27,NEFT,0,,3
TXN_04700,L00717,L00649,27233,2026-06-03 03:51:28,IMPS,0,,3
TXN_03490,M00074,M00144,25000,2026-06-03 03:55:00,UPI,1,,3
TXN_01180,VACC_0212,M00018,15500,2026-06-03 03:58:00,IMPS,1,VIC_0212,3
TXN_04690,L00235,L00124,1827,2026-06-03 04:15:08,UPI,0,,4
TXN_02128,VACC_0382,M00068,95000,2026-06-03 04:37:00,UPI,1,VIC_0382,4
TXN_01256,VACC_0227,M00089,95999,2026-06-03 04:41:00,UPI,1,VIC_0227,4
TXN_04559,L00715,L00128,6189,2026-06-03 04:48:10,UPI,0,,4
TXN_02220,VACC_0400,M00104,10500,2026-06-03 04:57:00,UPI,1,VIC_0400,4
TXN_02341,VACC_0420,M00105,15999,2026-06-03 05:02:00,UPI,1,VIC_0420,5
TXN_02129,VACC_0382,M00138,26000,2026-06-03 05:11:00,UPI,1,VIC_0382,5
TXN_01592,VACC_0286,M00129,50500,2026-06-03 05:14:00,UPI,1,VIC_0286,5
TXN_04524,L00725,L00797,13938,2026-06-03 05:22:18,UPI,0,,5
TXN_03740,L00771,L00414,10749,2026-06-03 05:50:22,UPI,0,,5
TXN_00444,VACC_0087,M00010,75000,2026-06-03 06:00:00,IMPS,1,VIC_0087,6
TXN_03141,M00030,M00170,15000,2026-06-03 06:28:00,UPI,1,,6
TXN_02546,VACC_0455,M00050,50999,2026-06-03 06:33:00,IMPS,1,VIC_0455,6
TXN_01181,VACC_0212,M00088,41000,2026-06-03 06:34:00,UPI,1,VIC_0212,6
TXN_02342,VACC_0420,M00035,10999,2026-06-03 06:40:00,UPI,1,VIC_0420,6
TXN_00612,VACC_0114,M00012,75000,2026-06-03 06:53:00,IMPS,1,VIC_0114,6
TXN_04961,L00187,L00786,1110,2026-06-03 06:53:05,UPI,0,,6
TXN_01593,VACC_0286,M00129,20999,2026-06-03 06:59:00,UPI,1,VIC_0286,6
TXN_00613,VACC_0114,M00012,100500,2026-06-03 07:04:00,UPI,1,VIC_0114,7
TXN_00614,VACC_0114,M00047,20000,2026-06-03 07:11:00,UPI,1,VIC_0114,7
TXN_01594,VACC_0286,M00164,15500,2026-06-03 07:12:00,IMPS,1,VIC_0286,7
TXN_02343,VACC_0420,M00140,15500,2026-06-03 07:44:00,UPI,1,VIC_0420,7
TXN_02221,VACC_0400,M00174,20500,2026-06-03 07:50:00,UPI,1,VIC_0400,7
TXN_00615,VACC_0114,M00117,100500,2026-06-03 07:57:00,UPI,1,VIC_0114,7
TXN_00445,VACC_0087,M00115,15999,2026-06-03 07:59:00,UPI,1,VIC_0087,7
TXN_02344,VACC_0420,M00070,41000,2026-06-03 08:18:00,UPI,1,VIC_0420,8
TXN_00616,VACC_0114,M00117,15999,2026-06-03 08:45:00,UPI,1,VIC_0114,8
TXN_00617,VACC_0114,M00082,16000,2026-06-03 08:50:00,UPI,1,VIC_0114,8
TXN_02547,VACC_0455,M00050,40000,2026-06-03 09:16:00,UPI,1,VIC_0455,9
TXN_02345,VACC_0420,M00140,75999,2026-06-03 09:56:00,UPI,1,VIC_0420,9
TXN_00446,VACC_0087,M00185,96000,2026-06-03 10:05:00,NEFT,1,VIC_0087,10
TXN_00447,VACC_0087,M00010,40999,2026-06-03 10:14:00,IMPS,1,VIC_0087,10
TXN_02346,VACC_0420,M00105,75500,2026-06-03 10:16:00,UPI,1,VIC_0420,10
TXN_02347,VACC_0420,M00070,20500,2026-06-03 10:24:00,UPI,1,VIC_0420,10
TXN_02222,VACC_0400,M00034,95000,2026-06-03 10:29:00,UPI,1,VIC_0400,10
TXN_02223,VACC_0400,M00104,95000,2026-06-03 10:34:00,UPI,1,VIC_0400,10
TXN_02348,VACC_0420,M00035,75999,2026-06-03 11:10:00,NEFT,1,VIC_0420,11
TXN_02548,VACC_0455,M00155,25999,2026-06-03 11:37:00,UPI,1,VIC_0455,11
TXN_00448,VACC_0087,M00150,100000,2026-06-03 12:56:00,UPI,1,VIC_0087,12
TXN_02549,VACC_0455,M00120,40000,2026-06-03 12:57:00,UPI,1,VIC_0455,12
TXN_02224,VACC_0400,M00104,40000,2026-06-03 13:13:00,IMPS,1,VIC_0400,13
TXN_03055,M00177,M00072,50000,2026-06-03 14:06:00,UPI,1,,14
TXN_02943,M00065,M00030,50000,2026-06-03 14:22:00,IMPS,1,,14
TXN_02225,VACC_0400,M00139,20999,2026-06-03 14:50:00,UPI,1,VIC_0400,14
TXN_04838,L00264,L00891,10174,2026-06-03 15:08:46,IMPS,0,,15
TXN_02550,VACC_0455,M00155,75999,2026-06-03 15:35:00,IMPS,1,VIC_0455,15
TXN_03664,L00087,L00138,750,2026-06-03 15:37:22,NEFT,0,,15
TXN_03321,M00199,M00059,60000,2026-06-03 15:41:00,IMPS,1,,15
TXN_02226,VACC_0400,M00069,20000,2026-06-03 15:43:00,UPI,1,VIC_0400,15
TXN_04627,L00187,L00550,597,2026-06-03 16:02:40,UPI,0,,16
TXN_02551,VACC_0455,M00050,26000,2026-06-03 16:07:00,UPI,1,VIC_0455,16
TXN_04004,L00520,L00081,2480,2026-06-03 16:12:26,UPI,0,,16
TXN_03179,M00173,M00138,60000,2026-06-03 16:13:00,IMPS,1,,16
TXN_03389,M00134,M00064,50000,2026-06-03 16:15:00,UPI,1,,16
TXN_04001,L00563,L00852,1267,2026-06-03 16:21:53,UPI,0,,16
TXN_03097,M00121,M00051,35000,2026-06-03 16:35:00,NEFT,1,,16
TXN_03602,L00114,L00347,23152,2026-06-03 16:42:51,UPI,0,,16
TXN_01244,VACC_0224,M00088,75999,2026-06-03 16:51:00,UPI,1,VIC_0224,16
TXN_00089,VACC_0020,M00040,10999,2026-06-03 17:01:00,UPI,1,VIC_0020,17
TXN_00285,VACC_0058,M00113,95999,2026-06-03 17:14:00,NEFT,1,VIC_0058,17
TXN_00090,VACC_0020,M00040,26000,2026-06-03 17:45:00,UPI,1,VIC_0020,17
TXN_00382,VACC_0078,M00008,40000,2026-06-03 17:46:00,UPI,1,VIC_0078,17
TXN_03166,M00194,M00054,35000,2026-06-03 17:46:00,UPI,1,,17
TXN_03546,L00880,L00056,1855,2026-06-03 17:47:30,IMPS,0,,17
TXN_02901,M00073,M00143,25000,2026-06-03 17:54:00,IMPS,1,,17
TXN_03260,M00020,M00055,50000,2026-06-03 17:54:00,IMPS,1,,17
TXN_00286,VACC_0058,M00113,16000,2026-06-03 18:06:00,UPI,1,VIC_0058,18
TXN_03099,M00037,M00072,60000,2026-06-03 18:06:00,NEFT,1,,18
TXN_03129,M00148,M00043,50000,2026-06-03 18:13:00,UPI,1,,18
TXN_03860,L00562,L00673,1415,2026-06-03 18:15:42,UPI,0,,18
TXN_02434,VACC_0438,M00035,20000,2026-06-03 18:22:00,UPI,1,VIC_0438,18
TXN_03264,M00185,M00045,15000,2026-06-03 18:27:00,IMPS,1,,18
TXN_04000,L00178,L00607,2630,2026-06-03 18:35:03,UPI,0,,18
TXN_02227,VACC_0400,M00034,75000,2026-06-03 18:41:00,UPI,1,VIC_0400,18
TXN_03235,M00034,M00104,25000,2026-06-03 18:44:00,IMPS,1,,18
TXN_00399,VACC_0082,M00010,11000,2026-06-03 18:45:00,UPI,1,VIC_0082,18
TXN_00345,VACC_0069,M00148,95999,2026-06-03 18:51:00,NEFT,1,VIC_0069,18
TXN_02552,VACC_0455,M00190,25999,2026-06-03 18:56:00,UPI,1,VIC_0455,18
TXN_00346,VACC_0069,M00113,51000,2026-06-03 19:02:00,IMPS,1,VIC_0069,19
TXN_00400,VACC_0082,M00080,25500,2026-06-03 19:03:00,UPI,1,VIC_0082,19
TXN_03775,L00059,L00378,1606,2026-06-03 19:27:02,UPI,0,,19
TXN_02464,VACC_0441,M00105,20999,2026-06-03 19:29:00,IMPS,1,VIC_0441,19
TXN_02553,VACC_0455,M00085,20000,2026-06-03 19:30:00,UPI,1,VIC_0455,19
TXN_02435,VACC_0438,M00175,25500,2026-06-03 19:31:00,NEFT,1,VIC_0438,19
TXN_04223,L00679,L00554,5121,2026-06-03 19:33:58,NEFT,0,,19
TXN_00287,VACC_0058,M00078,40000,2026-06-03 19:37:00,UPI,1,VIC_0058,19
TXN_00383,VACC_0078,M00113,25500,2026-06-03 19:40:00,UPI,1,VIC_0078,19
TXN_03483,M00028,M00063,50000,2026-06-03 19:47:00,IMPS,1,,19
TXN_00401,VACC_0082,M00080,20500,2026-06-03 19:48:00,IMPS,1,VIC_0082,19
TXN_02554,VACC_0455,M00190,96000,2026-06-03 20:00:00,UPI,1,VIC_0455,20
TXN_02837,M00139,M00069,60000,2026-06-03 20:03:00,UPI,1,,20
TXN_02465,VACC_0441,M00035,101000,2026-06-03 20:06:00,UPI,1,VIC_0441,20
TXN_00288,VACC_0058,M00008,100000,2026-06-03 20:16:00,IMPS,1,VIC_0058,20
TXN_04115,L00836,L00504,22069,2026-06-03 20:20:26,IMPS,0,,20
TXN_02466,VACC_0441,M00175,20000,2026-06-03 20:29:00,NEFT,1,VIC_0441,20
TXN_02436,VACC_0438,M00175,100999,2026-06-03 20:58:00,UPI,1,VIC_0438,20
TXN_04017,L00974,L00996,1978,2026-06-03 21:02:10,UPI,0,,21
TXN_00347,VACC_0069,M00183,11000,2026-06-03 21:31:00,IMPS,1,VIC_0069,21
TXN_01312,VACC_0237,M00090,95000,2026-06-03 21:33:00,UPI,1,VIC_0237,21
TXN_00289,VACC_0058,M00113,10000,2026-06-03 21:36:00,IMPS,1,VIC_0058,21
TXN_00384,VACC_0078,M00183,11000,2026-06-03 21:41:00,UPI,1,VIC_0078,21
TXN_02467,VACC_0441,M00070,10000,2026-06-03 22:07:00,UPI,1,VIC_0441,22
TXN_00402,VACC_0082,M00115,95999,2026-06-03 22:28:00,UPI,1,VIC_0082,22
TXN_03942,L00137,L00341,2157,2026-06-03 22:45:04,UPI,0,,22
TXN_02437,VACC_0438,M00105,40999,2026-06-03 22:47:00,UPI,1,VIC_0438,22
TXN_00348,VACC_0069,M00183,10000,2026-06-03 23:04:00,UPI,1,VIC_0069,23
TXN_03856,L00335,L00687,680,2026-06-03 23:25:03,UPI,0,,23
TXN_04546,L00590,L00059,351,2026-06-03 23:31:32,UPI,0,,23
TXN_01313,VACC_0237,M00125,100000,2026-06-03 23:36:00,UPI,1,VIC_0237,23
TXN_04046,L00748,L00743,2167,2026-06-03 23:36:37,NEFT,0,,23
TXN_00290,VACC_0058,M00113,50500,2026-06-03 23:37:00,UPI,1,VIC_0058,23
TXN_03498,M00144,M00004,50000,2026-06-03 23:38:00,IMPS,1,,23
TXN_02438,VACC_0438,M00175,25500,2026-06-03 23:56:00,IMPS,1,VIC_0438,23
TXN_02011,VACC_0364,M00137,100000,2026-06-04 00:03:00,UPI,1,VIC_0364,0
TXN_03439,M00075,M00005,25000,2026-06-04 00:04:00,UPI,1,,0
TXN_01314,VACC_0237,M00090,100000,2026-06-04 00:06:00,UPI,1,VIC_0237,0
TXN_00385,VACC_0078,M00008,11000,2026-06-04 00:11:00,UPI,1,VIC_0078,0
TXN_01315,VACC_0237,M00195,10500,2026-06-04 00:20:00,NEFT,1,VIC_0237,0
TXN_00386,VACC_0078,M00043,100500,2026-06-04 00:30:00,UPI,1,VIC_0078,0
TXN_04450,L00285,L00132,13369,2026-06-04 00:42:25,UPI,0,,0
TXN_00188,VACC_0040,M00006,50500,2026-06-04 00:47:00,UPI,1,VIC_0040,0
TXN_02468,VACC_0441,M00035,10500,2026-06-04 01:00:00,UPI,1,VIC_0441,1
TXN_04168,L00388,L00626,1242,2026-06-04 01:28:53,UPI,0,,1
TXN_02012,VACC_0364,M00032,15000,2026-06-04 01:31:00,UPI,1,VIC_0364,1
TXN_01654,VACC_0299,M00096,96000,2026-06-04 01:56:00,UPI,1,VIC_0299,1
TXN_02439,VACC_0438,M00070,75999,2026-06-04 02:09:00,NEFT,1,VIC_0438,2
TXN_03380,M00150,M00115,15000,2026-06-04 02:10:00,NEFT,1,,2
TXN_03791,L00163,L00619,1009,2026-06-04 02:12:38,IMPS,0,,2
TXN_02440,VACC_0438,M00105,96000,2026-06-04 02:40:00,UPI,1,VIC_0438,2
TXN_00063,VACC_0015,M00040,10999,2026-06-04 02:42:00,UPI,1,VIC_0015,2
TXN_00189,VACC_0040,M00146,40500,2026-06-04 03:00:00,UPI,1,VIC_0040,3
TXN_03507,L00902,L00636,1271,2026-06-04 03:01:55,IMPS,0,,3
TXN_04234,L00226,L00737,2496,2026-06-04 03:09:16,IMPS,0,,3
TXN_01316,VACC_0237,M00090,15500,2026-06-04 03:12:00,UPI,1,VIC_0237,3
TXN_04352,L00058,L00099,3082,2026-06-04 03:20:38,IMPS,0,,3
TXN_00387,VACC_0078,M00148,51000,2026-06-04 03:23:00,UPI,1,VIC_0078,3
TXN_03799,L00066,L00845,12722,2026-06-04 03:35:40,UPI,0,,3
TXN_00064,VACC_0015,M00180,101000,2026-06-04 03:40:00,IMPS,1,VIC_0015,3
TXN_00997,VACC_0177,M00121,20999,2026-06-04 03:47:00,IMPS,1,VIC_0177,3
TXN_04496,L00842,L00827,5053,2026-06-04 03:51:40,UPI,0,,3
TXN_02013,VACC_0364,M00137,75500,2026-06-04 03:57:00,UPI,1,VIC_0364,3
TXN_01655,VACC_0299,M00096,25500,2026-06-04 04:40:00,UPI,1,VIC_0299,4
TXN_00190,VACC_0040,M00111,21000,2026-06-04 04:42:00,UPI,1,VIC_0040,4
TXN_02441,VACC_0438,M00105,41000,2026-06-04 04:46:00,UPI,1,VIC_0438,4
TXN_02014,VACC_0364,M00102,40999,2026-06-04 04:52:00,UPI,1,VIC_0364,4
TXN_00998,VACC_0177,M00121,100500,2026-06-04 04:57:00,UPI,1,VIC_0177,4
TXN_00388,VACC_0078,M00043,100000,2026-06-04 05:27:00,UPI,1,VIC_0078,5
TXN_04256,L00828,L00239,10035,2026-06-04 05:39:03,UPI,0,,5
