account_id,account_type,account_age_days,kyc_match_score,device_id,avg_monthly_income,risk_label,city,syndicate_id
M00065,SAVINGS,56,0.49,DEV_MULE_030,17892,1,Gurugram,SYN_030
M00066,SAVINGS,88,0.59,DEV_MULE_031,8997,1,Noida,SYN_031
M00067,SAVINGS,7,0.57,DEV_MULE_032,21511,1,Jamtara,SYN_032
M00068,SAVINGS,18,0.48,DEV_MULE_033,16521,1,Mewat,SYN_033
M00069,SAVINGS,89,0.59,DEV_MULE_034,10916,1,Gurugram,SYN_034
M00070,SAVINGS,17,0.38,DEV_MULE_035,13239,1,Noida,SYN_035
M00071,SAVINGS,17,0.44,DEV_MULE_001,15583,1,Jamtara,SYN_001
M00072,SAVINGS,18,0.33,DEV_MULE_002,16593,1,Mewat,SYN_002
M00073,SAVINGS,8,0.53,DEV_MULE_003,17031,1,Gurugram,SYN_003
M00074,SAVINGS,6,0.66,DEV_MULE_004,17720,1,Noida,SYN_004
M00075,SAVINGS,59,0.69,DEV_MULE_005,17692,1,Jamtara,SYN_005
M00076,SAVINGS,22,0.39,DEV_MULE_006,13845,1,Mewat,SYN_006
M00077,SAVINGS,75,0.34,DEV_MULE_007,20893,1,Gurugram,SYN_007
M00078,SAVINGS,9,0.33,DEV_MULE_008,16392,1,Noida,SYN_008
M00079,SAVINGS,36,0.7,DEV_MULE_009,22345,1,Jamtara,SYN_009
M00080,SAVINGS,75,0.65,DEV_MULE_010,21073,1,Mewat,SYN_010
M00081,SAVINGS,51,0.63,DEV_MULE_011,19495,1,Gurugram,SYN_011
M00082,SAVINGS,26,0.41,DEV_MULE_012,20311,1,Noida,SYN_012
M00083,SAVINGS,68,0.47,DEV_MULE_013,16121,1,Jamtara,SYN_013
M00084,SAVINGS,47,0.58,DEV_MULE_014,20284,1,Mewat,SYN_014
M00085,SAVINGS,11,0.67,DEV_MULE_015,13130,1,Gurugram,SYN_015
M00086,SAVINGS,6,0.43,DEV_MULE_016,10150,1,Noida,SYN_016
M00087,SAVINGS,44,0.38,DEV_MULE_017,18953,1,Jamtara,SYN_017
M00088,SAVINGS,63,0.57,DEV_MULE_018,20163,1,Mewat,SYN_018
M00089,SAVINGS,24,0.54,DEV_MULE_019,20708,1,Gurugram,SYN_019
M00090,SAVINGS,69,0.63,DEV_MULE_020,23440,1,Noida,SYN_020
M00091,SAVINGS,75,0.68,DEV_MULE_021,10899,1,Jamtara,SYN_021
M00092,SAVINGS,40,0.59,DEV_MULE_022,8769,1,Mewat,SYN_022
M00093,SAVINGS,11,0.62,DEV_MULE_023,11226,1,Gurugram,SYN_023
M00094,SAVINGS,85,0.37,DEV_MULE_024,11771,1,Noida,SYN_024
M00095,SAVINGS,62,0.44,DEV_MULE_025,22035,1,Jamtara,SYN_025
M00096,SAVINGS,40,0.48,DEV_MULE_026,19420,1,Mewat,SYN_026
M00097,CURRENT,38,0.52,DEV_MULE_027,15019,1,Gurugram,SYN_027
M00098,SAVINGS,17,0.66,DEV_MULE_028,14142,1,Noida,SYN_028
M00099,SAVINGS,51,0.52,DEV_MULE_029,14904,1,Jamtara,SYN_029
M00100,SAVINGS,51,0.43,DEV_MULE_030,10228,1,Mewat,SYN_030
M00101,SAVINGS,29,0.5,DEV_MULE_031,19863,1,Bengaluru,SYN_031
M00102,SAVINGS,29,0.36,DEV_MULE_032,12987,1,Hyderabad,SYN_032
M00103,SAVINGS,55,0.36,DEV_MULE_033,11272,1,Chennai,SYN_033
M00104,SAVINGS,5,0.65,DEV_MULE_034,13473,1,Kolar,SYN_034
M00105,SAVINGS,31,0.45,DEV_MULE_035,15312,1,Nellore,SYN_035
M00106,SAVINGS,15,0.62,DEV_MULE_001,10398,1,Bengaluru,SYN_001
M00107,SAVINGS,76,0.61,DEV_MULE_002,8195,1,Hyderabad,SYN_002
M00108,SAVINGS,36,0.52,DEV_MULE_003,12028,1,Chennai,SYN_003
M00109,SAVINGS,11,0.68,DEV_MULE_004,13480,1,Kolar,SYN_004
M00110,SAVINGS,23,0.48,DEV_MULE_005,23156,1,Nellore,SYN_005
M00111,SAVINGS,13,0.36,DEV_MULE_006,9612,1,Bengaluru,SYN_006
M00112,SAVINGS,60,0.54,DEV_MULE_007,9635,1,Hyderabad,SYN_007
M00113,CURRENT,5,0.67,DEV_MULE_008,19315,1,Chennai,SYN_008
M00114,SAVINGS,31,0.54,DEV_MULE_009,14786,1,Kolar,SYN_009
M00115,SAVINGS,40,0.64,DEV_MULE_010,22570,1,Nellore,SYN_010
M00116,SAVINGS,21,0.37,DEV_MULE_011,10981,1,Bengaluru,SYN_011
M00117,SAVINGS,1,0.65,DEV_MULE_012,16301,1,Hyderabad,SYN_012
M00118,SAVINGS,21,0.45,DEV_MULE_013,19907,1,Chennai,SYN_013
M00119,SAVINGS,57,0.3,DEV_MULE_014,13335,1,Kolar,SYN_014
M00120,SAVINGS,25,0.65,DEV_MULE_015,22767,1,Nellore,SYN_015
M00121,SAVINGS,34,0.67,DEV_MULE_016,17393,1,Bengaluru,SYN_016
M00122,SAVINGS,51,0.4,DEV_MULE_017,17242,1,Hyderabad,SYN_017
M00123,SAVINGS,88,0.42,DEV_MULE_018,20487,1,Chennai,SYN_018
M00124,SAVINGS,26,0.31,DEV_MULE_019,18616,1,Kolar,SYN_019
M00125,SAVINGS,84,0.48,DEV_MULE_020,16916,1,Nellore,SYN_020
M00126,CURRENT,63,0.7,DEV_MULE_021,16035,1,Bengaluru,SYN_021
M00127,SAVINGS,13,0.46,DEV_MULE_022,14828,1,Hyderabad,SYN_022
M00128,SAVINGS,62,0.38,DEV_MULE_023,11051,1,Chennai,SYN_023
M00129,SAVINGS,30,0.63,DEV_MULE_024,17399,1,Kolar,SYN_024
M00130,SAVINGS,47,0.51,DEV_MULE_025,16551,1,Nellore,SYN_025
M00131,SAVINGS,38,0.61,DEV_MULE_026,9647,1,Bengaluru,SYN_026
M00132,SAVINGS,55,0.68,DEV_MULE_027,13972,1,Hyderabad,SYN_027
M00133,SAVINGS,34,0.46,DEV_MULE_028,8406,1,Chennai,SYN_028
M00134,SAVINGS,50,0.65,DEV_MULE_029,14527,1,Kolar,SYN_029
M00135,SAVINGS,67,0.39,DEV_MULE_030,18750,1,Nellore,SYN_030
M00136,SAVINGS,54,0.44,DEV_MULE_031,17111,1,Bengaluru,SYN_031
M00137,CURRENT,8,0.34,DEV_MULE_032,11890,1,Hyderabad,SYN_032
M00138,SAVINGS,46,0.63,DEV_MULE_033,14354,1,Chennai,SYN_033
M00139,SAVINGS,85,0.46,DEV_MULE_034,13183,1,Kolar,SYN_034
M00140,SAVINGS,74,0.33,DEV_MULE_035,11326,1,Nellore,SYN_035
M00141,SAVINGS,19,0.53,DEV_MULE_001,14742,1,Bengaluru,SYN_001
M00142,CURRENT,47,0.55,DEV_MULE_002,13373,1,Hyderabad,SYN_002
M00143,SAVINGS,67,0.54,DEV_MULE_003,12289,1,Chennai,SYN_003
M00144,SAVINGS,38,0.61,DEV_MULE_004,13804,1,Kolar,SYN_004
M00145,CURRENT,86,0.61,DEV_MULE_005,9827,1,Nellore,SYN_005
M00146,SAVINGS,59,0.66,DEV_MULE_006,20797,1,Bengaluru,SYN_006
M00147,SAVINGS,81,0.41,DEV_MULE_007,16666,1,Hyderabad,SYN_007
M00148,SAVINGS,73,0.36,DEV_MULE_008,21358,1,Chennai,SYN_008
M00149,CURRENT,58,0.66,DEV_MULE_009,19059,1,Kolar,SYN_009
M00150,SAVINGS,70,0.67,DEV_MULE_010,9884,1,Nellore,SYN_010
M00151,SAVINGS,38,0.33,DEV_MULE_011,14483,1,Bengaluru,SYN_011
M00152,SAVINGS,76,0.38,DEV_MULE_012,8175,1,Hyderabad,SYN_012
M00153,SAVINGS,57,0.41,DEV_MULE_013,19714,1,Chennai,SYN_013
M00154,SAVINGS,53,0.37,DEV_MULE_014,22630,1,Kolar,SYN_014
M00155,SAVINGS,62,0.51,DEV_MULE_015,8751,1,Nellore,SYN_015
M00156,SAVINGS,65,0.33,DEV_MULE_016,17650,1,Bengaluru,SYN_016
M00157,SAVINGS,21,0.63,DEV_MULE_017,14995,1,Hyderabad,SYN_017
M00158,CURRENT,59,0.42,DEV_MULE_018,17062,1,Chennai,SYN_018
M00159,SAVINGS,24,0.67,DEV_MULE_019,19721,1,Kolar,SYN_019
M00160,SAVINGS,36,0.52,DEV_MULE_020,10592,1,Nellore,SYN_020
M00161,SAVINGS,81,0.5,DEV_MULE_021,17549,1,Bengaluru,SYN_021
M00162,SAVINGS,26,0.49,DEV_MULE_022,13510,1,Hyderabad,SYN_022
M00163,SAVINGS,1,0.5,DEV_MULE_023,19014,1,Chennai,SYN_023
M00164,SAVINGS,39,0.33,DEV_MULE_024,9244,1,Kolar,SYN_024
M00165,SAVINGS,51,0.41,DEV_MULE_025,17443,1,Nellore,SYN_025
M00166,SAVINGS,44,0.62,DEV_MULE_026,23393,1,Bengaluru,SYN_026
M00167,SAVINGS,57,0.48,DEV_MULE_027,10962,1,Hyderabad,SYN_027
M00168,SAVINGS,88,0.6,DEV_MULE_028,18223,1,Chennai,SYN_028
M00169,SAVINGS,80,0.64,DEV_MULE_029,11994,1,Kolar,SYN_029
M00170,SAVINGS,15,0.58,DEV_MULE_030,8825,1,Nellore,SYN_030
M00171,SAVINGS,32,0.58,DEV_MULE_031,22803,1,Bengaluru,SYN_031
M00172,SAVINGS,85,0.49,DEV_MULE_032,13005,1,Hyderabad,SYN_032
M00173,SAVINGS,7,0.42,DEV_MULE_033,22790,1,Chennai,SYN_033
M00174,CURRENT,87,0.62,DEV_MULE_034,19921,1,Kolar,SYN_034
M00175,SAVINGS,18,0.51,DEV_MULE_035,18312,1,Nellore,SYN_035
M00176,SAVINGS,24,0.39,DEV_MULE_001,9929,1,Bengaluru,SYN_001
M00177,SAVINGS,37,0.51,DEV_MULE_002,15056,1,Hyderabad,SYN_002
M00178,SAVINGS,39,0.43,DEV_MULE_003,16631,1,Chennai,SYN_003
M00179,SAVINGS,25,0.6,DEV_MULE_004,16322,1,Kolar,SYN_004
M00180,SAVINGS,66,0.31,DEV_MULE_005,21921,1,Nellore,SYN_005
M00181,SAVINGS,13,0.51,DEV_MULE_006,23025,1,Bengaluru,SYN_006
M00182,SAVINGS,39,0.3,DEV_MULE_007,8842,1,Hyderabad,SYN_007
M00183,SAVINGS,62,0.49,DEV_MULE_008,18040,1,Chennai,SYN_008
M00184,CURRENT,10,0.34,DEV_MULE_009,13381,1,Kolar,SYN_009
M00185,SAVINGS,65,0.4,DEV_MULE_010,9767,1,Nellore,SYN_010
M00186,SAVINGS,30,0.64,DEV_MULE_011,19448,1,Bengaluru,SYN_011
M00187,SAVINGS,48,0.31,DEV_MULE_012,23803,1,Hyderabad,SYN_012
M00188,SAVINGS,49,0.46,DEV_MULE_013,9991,1,Chennai,SYN_013
M00189,CURRENT,37,0.61,DEV_MULE_014,9430,1,Kolar,SYN_014
M00190,SAVINGS,56,0.65,DEV_MULE_015,17612,1,Nellore,SYN_015
M00191,CURRENT,25,0.6,DEV_MULE_016,9039,1,Bengaluru,SYN_016
M00192,SAVINGS,63,0.39,DEV_MULE_017,21290,1,Hyderabad,SYN_017
M00193,SAVINGS,57,0.39,DEV_MULE_018,10983,1,Chennai,SYN_018
M00194,SAVINGS,6,0.62,DEV_MULE_019,18076,1,Kolar,SYN_019
M00195,SAVINGS,9,0.67,DEV_MULE_020,23918,1,Nellore,SYN_020
M00196,SAVINGS,35,0.6,DEV_MULE_021,19136,1,Bengaluru,SYN_021
M00197,SAVINGS,32,0.49,DEV_MULE_022,17966,1,Hyderabad,SYN_022
M00198,SAVINGS,89,0.54,DEV_MULE_023,17281,1,Chennai,SYN_023
M00199,SAVINGS,56,0.41,DEV_MULE_024,10072,1,Kolar,SYN_024
M00200,CURRENT,25,0.64,DEV_MULE_025,8566,1,Nellore,SYN_025
L00001,SAVINGS,1783,0.86,DEV_LEGIT_0463,110563,0,Nellore,
L00002,SAVINGS,1564,0.92,DEV_LEGIT_0038,49993,0,Kolar,
L00003,SAVINGS,1160,0.86,DEV_LEGIT_0316,192473,0,Kolar,
L00004,CURRENT,682,0.94,DEV_LEGIT_0040,187565,0,Chennai,
L00005,SAVINGS,2452,0.93,DEV_LEGIT_0568,84400,0,Kolkata,
L00006,SAVINGS,2748,0.95,DEV_LEGIT_0262,192357,0,Mumbai,
L00007,SAVINGS,727,0.89,DEV_LEGIT_0571,207066,0,Mewat,
L00008,SAVINGS,2834,0.88,DEV_LEGIT_0356,198102,0,Nellore,
L00009,CURRENT,1419,0.97,DEV_LEGIT_0557,58840,0,Coimbatore,
L00010,SAVINGS,1939,0.87,DEV_LEGIT_0363,186323,0,Kolkata,
L00011,CURRENT,1912,0.85,DEV_LEGIT_0718,88102,0,Mewat,
L00012,SAVINGS,1621,0.94,DEV_LEGIT_0046,83063,0,Mumbai,
L00013,SAVINGS,2777,0.97,DEV_LEGIT_0700,54791,0,Bengaluru,
L00014,SAVINGS,1621,0.99,DEV_LEGIT_0414,98246,0,Jamtara,
L00015,SAVINGS,2449,0.87,DEV_LEGIT_0572,208387,0,Nellore,
L00016,CURRENT,1095,0.87,DEV_LEGIT_0864,177632,0,Nellore,
L00017,SAVINGS,386,0.94,DEV_LEGIT_0401,43462,0,Mumbai,
L00018,CURRENT,1051,1.0,DEV_LEGIT_0306,173685,0,Hyderabad,
L00019,SAVINGS,2872,0.85,DEV_LEGIT_0227,39092,0,Kolkata,
L00020,SAVINGS,2871,0.95,DEV_LEGIT_0646,117492,0,Kochi,
L00021,SAVINGS,880,0.91,DEV_LEGIT_0430,118506,0,Noida,
L00022,SAVINGS,2569,0.89,DEV_LEGIT_0039,190390,0,Gurugram,
L00023,SAVINGS,1927,0.98,DEV_LEGIT_0687,213198,0,Hyderabad,
L00024,SAVINGS,385,0.99,DEV_LEGIT_0440,193611,0,Kolar,
L00025,SAVINGS,2341,0.92,DEV_LEGIT_0084,92711,0,Kolar,
L00026,CURRENT,2345,0.88,DEV_LEGIT_0570,195602,0,Noida,
L00027,SAVINGS,1659,0.92,DEV_LEGIT_0792,135498,0,Noida,
L00028,SAVINGS,2045,0.86,DEV_LEGIT_0060,63426,0,Chennai,
L00029,CURRENT,2400,0.85,DEV_LEGIT_0027,182407,0,Mewat,
L00030,SAVINGS,742,0.94,DEV_LEGIT_0940,182359,0,Chennai,
L00031,SAVINGS,2867,0.87,DEV_LEGIT_0153,161829,0,Mumbai,
L00032,SAVINGS,1381,0.87,DEV_LEGIT_0740,155531,0,Jamtara,
L00033,SAVINGS,1732,0.91,DEV_LEGIT_0501,217105,0,Kolkata,
L00034,SAVINGS,638,0.95,DEV_LEGIT_0721,108175,0,Noida,
L00035,SAVINGS,1932,0.95,DEV_LEGIT_0495,175055,0,Mewat,
L00036,CURRENT,1143,0.92,DEV_LEGIT_0102,54412,0,Kolkata,
L00037,SAVINGS,2060,0.85,DEV_LEGIT_0401,124235,0,Mumbai,
L00038,SAVINGS,1078,0.97,DEV_LEGIT_0092,209128,0,Jamtara,
L00039,SAVINGS,2133,0.9,DEV_LEGIT_0865,41142,0,Hyderabad,
L00040,SAVINGS,2606,1.0,DEV_LEGIT_0116,72158,0,Chennai,
L00041,CURRENT,470,0.88,DEV_LEGIT_0122,54345,0,Coimbatore,
L00042,SAVINGS,2290,0.94,DEV_LEGIT_0317,149071,0,Mumbai,
L00043,SAVINGS,1080,0.98,DEV_LEGIT_0223,167106,0,Kolar,
L00044,CURRENT,475,0.97,DEV_LEGIT_0318,49821,0,Kochi,
L00045,SAVINGS,386,0.92,DEV_LEGIT_0084,154061,0,Nellore,
L00046,SAVINGS,378,0.86,DEV_LEGIT_0809,46165,0,Chennai,
L00047,SAVINGS,1925,0.98,DEV_LEGIT_0087,75554,0,Gurugram,
L00048,SAVINGS,1049,0.88,DEV_LEGIT_0567,181094,0,Nellore,
L00049,SAVINGS,2354,0.96,DEV_LEGIT_0695,77264,0,Chennai,
L00050,SAVINGS,1447,0.95,DEV_LEGIT_0352,71915,0,Mumbai,
L00051,SAVINGS,2347,0.88,DEV_LEGIT_0035,190483,0,Nellore,
L00052,CURRENT,523,0.91,DEV_LEGIT_0817,191555,0,Noida,
L00053,SAVINGS,1752,0.97,DEV_LEGIT_0805,128396,0,Jamtara,
L00054,CURRENT,972,0.94,DEV_LEGIT_0562,40437,0,Mumbai,
L00055,SAVINGS,2990,0.94,DEV_LEGIT_0866,181696,0,Noida,
L00056,SAVINGS,1759,0.89,DEV_LEGIT_0295,101442,0,Noida,
L00057,SAVINGS,2433,0.96,DEV_LEGIT_0643,59340,0,Coimbatore,
L00058,SAVINGS,842,0.88,DEV_LEGIT_0520,78945,0,Chennai,
L00059,SAVINGS,2705,0.98,DEV_LEGIT_0334,126071,0,Jamtara,
L00060,SAVINGS,745,0.92,DEV_LEGIT_0318,130241,0,Mumbai,
L00061,SAVINGS,1202,0.95,DEV_LEGIT_0084,92747,0,Mumbai,
L00062,SAVINGS,1617,0.85,DEV_LEGIT_0028,143856,0,Kolar,
L00063,SAVINGS,665,0.89,DEV_LEGIT_0460,78414,0,Mewat,
L00064,SAVINGS,634,0.9,DEV_LEGIT_0010,118023,0,Coimbatore,
L00065,CURRENT,1645,0.92,DEV_LEGIT_0844,143758,0,Kolkata,
L00066,SAVINGS,2368,0.91,DEV_LEGIT_0513,147024,0,Mewat,
L00067,SAVINGS,2577,0.97,DEV_LEGIT_0687,165496,0,Nellore,
L00068,SAVINGS,2107,0.93,DEV_LEGIT_0824,134882,0,Nellore,
L00069,SAVINGS,1333,0.93,DEV_LEGIT_0916,208272,0,Mumbai,
L00070,SAVINGS,1423,0.92,DEV_LEGIT_0797,207766,0,Chennai,
L00071,SAVINGS,1594,0.95,DEV_LEGIT_0837,108515,0,Hyderabad,
L00072,CURRENT,490,0.99,DEV_LEGIT_0242,153237,0,Mumbai,
L00073,SAVINGS,2907,0.93,DEV_LEGIT_0185,98390,0,Gurugram,
L00074,SAVINGS,2796,0.87,DEV_LEGIT_0294,61555,0,Noida,
L00075,SAVINGS,739,0.87,DEV_LEGIT_0946,69844,0,Nellore,
L00076,SAVINGS,1746,0.98,DEV_LEGIT_0776,67772,0,Bengaluru,
L00077,SAVINGS,1507,0.99,DEV_LEGIT_0802,161400,0,Mumbai,
L00078,SAVINGS,667,0.94,DEV_LEGIT_0114,40621,0,Gurugram,
L00079,CURRENT,2352,0.95,DEV_LEGIT_0840,74899,0,Gurugram,
L00080,SAVINGS,1457,0.94,DEV_LEGIT_0654,99486,0,Kolkata,
L00081,SAVINGS,1973,0.98,DEV_LEGIT_0704,218767,0,Kochi,
L00082,CURRENT,853,0.87,DEV_LEGIT_0781,155344,0,Jamtara,
L00083,SAVINGS,2002,0.92,DEV_LEGIT_0102,201754,0,Nellore,
L00084,CURRENT,1215,0.98,DEV_LEGIT_0397,104499,0,Mumbai,
L00085,SAVINGS,1075,0.93,DEV_LEGIT_0822,105377,0,Jamtara,
L00086,SAVINGS,669,0.93,DEV_LEGIT_0605,117217,0,Coimbatore,
L00087,SAVINGS,1326,0.92,DEV_LEGIT_0102,105260,0,Hyderabad,
L00088,CURRENT,1838,0.92,DEV_LEGIT_0794,39743,0,Chennai,
L00089,SAVINGS,1521,0.91,DEV_LEGIT_0154,142331,0,Coimbatore,
L00090,SAVINGS,407,0.96,DEV_LEGIT_0300,185402,0,Bengaluru,
L00091,SAVINGS,2839,0.85,DEV_LEGIT_0498,71218,0,Chennai,
L00092,SAVINGS,1512,0.99,DEV_LEGIT_0336,156118,0,Gurugram,
L00093,SAVINGS,1153,0.92,DEV_LEGIT_0051,70993,0,Noida,
L00094,SAVINGS,737,0.89,DEV_LEGIT_0334,91848,0,Noida,
L00095,SAVINGS,2036,0.9,DEV_LEGIT_0751,147911,0,Coimbatore,
L00096,SAVINGS,2502,0.87,DEV_LEGIT_0658,68512,0,Jamtara,
L00097,CURRENT,1427,0.93,DEV_LEGIT_0351,166173,0,Chennai,
L00098,CURRENT,809,0.89,DEV_LEGIT_0312,213141,0,Gurugram,
L00099,SAVINGS,2210,0.93,DEV_LEGIT_0452,43031,0,Kolkata,
L00100,SAVINGS,2553,0.94,DEV_LEGIT_0362,186549,0,Kolar,
L00101,SAVINGS,885,0.95,DEV_LEGIT_0726,67333,0,Chennai,
L00102,CURRENT,2996,0.97,DEV_LEGIT_0633,137977,0,Jamtara,
L00103,CURRENT,414,0.96,DEV_LEGIT_0859,192467,0,Bengaluru,
L00104,SAVINGS,510,0.96,DEV_LEGIT_0167,62695,0,Jamtara,
L00105,SAVINGS,1949,0.96,DEV_LEGIT_0439,194617,0,Gurugram,
L00106,SAVINGS,1026,0.85,DEV_LEGIT_0631,153764,0,Mumbai,
L00107,SAVINGS,1014,0.89,DEV_LEGIT_0455,151922,0,Kolkata,
L00108,SAVINGS,1134,0.89,DEV_LEGIT_0441,145453,0,Kochi,
L00109,SAVINGS,2871,1.0,DEV_LEGIT_0658,58752,0,Gurugram,
L00110,SAVINGS,1490,0.94,DEV_LEGIT_0531,85719,0,Kolkata,
L00111,SAVINGS,717,0.94,DEV_LEGIT_0036,109219,0,Mewat,
L00112,SAVINGS,2837,0.94,DEV_LEGIT_0353,116845,0,Nellore,
L00113,SAVINGS,2929,0.86,DEV_LEGIT_0828,153431,0,Mewat,
L00114,CURRENT,1950,0.95,DEV_LEGIT_0776,77703,0,Nellore,
L00115,SAVINGS,1518,1.0,DEV_LEGIT_0058,157440,0,Noida,
L00116,CURRENT,1859,0.92,DEV_LEGIT_0209,46126,0,Kolkata,
L00117,SAVINGS,2865,0.88,DEV_LEGIT_0812,162650,0,Kochi,
L00118,SAVINGS,2858,0.91,DEV_LEGIT_0311,187034,0,Chennai,
L00119,SAVINGS,2296,1.0,DEV_LEGIT_0012,122854,0,Bengaluru,
L00120,SAVINGS,712,1.0,DEV_LEGIT_0542,38704,0,Kolar,
L00121,CURRENT,2733,0.98,DEV_LEGIT_0872,131377,0,Coimbatore,
L00122,SAVINGS,2131,0.98,DEV_LEGIT_0406,147569,0,Jamtara,
L00123,CURRENT,2921,0.86,DEV_LEGIT_0460,91078,0,Mewat,
