atm_id,bank,city,lat,long,area_type
ATM_067,HDFC Bank,Bengaluru,12.937606,77.609755,INDUSTRIAL_AREA
ATM_068,Axis Bank,Bengaluru,12.942178,77.644198,INDUSTRIAL_AREA
ATM_069,Bank of Baroda,Bengaluru,12.946536,77.584294,COMMERCIAL_MARKET
ATM_070,Axis Bank,Bengaluru,12.997633,77.555212,RURAL_JUNCTION
ATM_071,ICICI Bank,Hyderabad,17.392279,78.528529,RURAL_JUNCTION
ATM_072,State Bank of India,Hyderabad,17.333561,78.492608,INDUSTRIAL_AREA
ATM_073,Axis Bank,Hyderabad,17.393316,78.511718,TRANSIT_HUB_METRO
ATM_074,ICICI Bank,Hyderabad,17.345418,78.444445,TRANSIT_HUB_METRO
ATM_075,HDFC Bank,Hyderabad,17.401702,78.496204,INDUSTRIAL_AREA
ATM_076,Axis Bank,Hyderabad,17.393016,78.497786,INDUSTRIAL_AREA
ATM_077,Punjab National Bank,Hyderabad,17.363239,78.494132,RESIDENTIAL_COLONY
ATM_078,Bank of Baroda,Hyderabad,17.394378,78.463841,RESIDENTIAL_COLONY
ATM_079,State Bank of India,Hyderabad,17.444705,78.501863,TRANSIT_HUB_METRO
ATM_080,Bank of Baroda,Hyderabad,17.346878,78.50771,RURAL_JUNCTION
ATM_081,State Bank of India,Hyderabad,17.35381,78.511887,COMMERCIAL_MARKET
ATM_082,Bank of Baroda,Hyderabad,17.422075,78.460438,HIGHWAY_OUTSKIRTS
ATM_083,Punjab National Bank,Hyderabad,17.415828,78.499909,COMMERCIAL_MARKET
ATM_084,Punjab National Bank,Hyderabad,17.411306,78.547397,TRANSIT_HUB_METRO
ATM_085,HDFC Bank,Hyderabad,17.377148,78.46258,COMMERCIAL_MARKET
ATM_086,Union Bank of India,Chennai,13.057794,80.247857,COMMERCIAL_MARKET
ATM_087,ICICI Bank,Chennai,13.080541,80.280252,RESIDENTIAL_COLONY
ATM_088,Union Bank of India,Chennai,13.090447,80.293861,TRANSIT_HUB_METRO
ATM_089,ICICI Bank,Chennai,13.083064,80.311399,HIGHWAY_OUTSKIRTS
ATM_090,Canara Bank,Chennai,13.07529,80.346865,RESIDENTIAL_COLONY
ATM_091,Punjab National Bank,Chennai,13.100219,80.2467,INDUSTRIAL_AREA
ATM_092,Axis Bank,Chennai,13.052715,80.284209,RURAL_JUNCTION
ATM_093,Bank of Baroda,Chennai,13.076443,80.290692,RURAL_JUNCTION
ATM_094,Union Bank of India,Chennai,13.095951,80.268661,COMMERCIAL_MARKET
ATM_095,Punjab National Bank,Chennai,13.05899,80.228284,RESIDENTIAL_COLONY
ATM_096,HDFC Bank,Chennai,13.070198,80.294679,HIGHWAY_OUTSKIRTS
ATM_097,State Bank of India,Chennai,13.088695,80.235819,TRANSIT_HUB_METRO
ATM_098,Punjab National Bank,Chennai,13.087549,80.281489,TRANSIT_HUB_METRO
ATM_099,Punjab National Bank,Chennai,13.057952,80.275004,COMMERCIAL_MARKET
ATM_100,HDFC Bank,Kolar,13.136631,78.114212,INDUSTRIAL_AREA
ATM_101,State Bank of India,Kolar,13.141425,78.141473,RESIDENTIAL_COLONY
ATM_102,HDFC Bank,Kolar,13.153029,78.149361,COMMERCIAL_MARKET
ATM_103,Bank of Baroda,Kolar,13.113657,78.117495,COMMERCIAL_MARKET
ATM_104,Punjab National Bank,Kolar,13.143941,78.140721,HIGHWAY_OUTSKIRTS
ATM_105,Union Bank of India,Kolar,13.143941,78.194144,RESIDENTIAL_COLONY
ATM_106,ICICI Bank,Kolar,13.144834,78.150669,INDUSTRIAL_AREA
ATM_107,Union Bank of India,Kolar,13.150964,78.142922,RESIDENTIAL_COLONY
ATM_108,Union Bank of India,Kolar,13.130656,78.144644,RURAL_JUNCTION
ATM_109,Punjab National Bank,Kolar,13.123335,78.128711,COMMERCIAL_MARKET
ATM_110,HDFC Bank,Nellore,14.432893,79.988137,INDUSTRIAL_AREA
ATM_111,Canara Bank,Nellore,14.488893,79.949155,HIGHWAY_OUTSKIRTS
ATM_112,Canara Bank,Nellore,14.456325,79.954246,RURAL_JUNCTION
ATM_113,Union Bank of India,Nellore,14.433161,80.008279,INDUSTRIAL_AREA
ATM_114,State Bank of India,Nellore,14.443886,79.964945,INDUSTRIAL_AREA
ATM_115,HDFC Bank,Nellore,14.428294,80.000092,COMMERCIAL_MARKET
ATM_116,Canara Bank,Nellore,14.427993,79.990829,INDUSTRIAL_AREA
ATM_117,Bank of Baroda,Nellore,14.443511,79.973468,COMMERCIAL_MARKET
ATM_118,Punjab National Bank,Nellore,14.485479,79.999178,RESIDENTIAL_COLONY
ATM_119,Punjab National Bank,Nellore,14.402097,79.990229,TRANSIT_HUB_METRO
ATM_120,Union Bank of India,Mumbai,19.052176,72.908388,RESIDENTIAL_COLONY
ATM_121,Canara Bank,Mumbai,19.047469,72.873569,RESIDENTIAL_COLONY
ATM_122,Axis Bank,Mumbai,19.09418,72.908867,RURAL_JUNCTION
ATM_123,Punjab National Bank,Mumbai,19.032789,72.865658,COMMERCIAL_MARKET
ATM_124,Union Bank of India,Mumbai,19.058902,72.85418,TRANSIT_HUB_METRO
ATM_125,HDFC Bank,Mumbai,19.139556,72.892279,COMMERCIAL_MARKET
ATM_126,State Bank of India,Mumbai,19.030608,72.910743,COMMERCIAL_MARKET
ATM_127,Punjab National Bank,Mumbai,19.152398,72.914869,RESIDENTIAL_COLONY
ATM_128,Canara Bank,Mumbai,19.021303,72.860268,RURAL_JUNCTION
ATM_129,Union Bank of India,Mumbai,19.121609,72.852224,RESIDENTIAL_COLONY
ATM_130,Canara Bank,Mumbai,19.091977,72.905587,COMMERCIAL_MARKET
ATM_131,ICICI Bank,Mumbai,19.042631,72.875557,RURAL_JUNCTION
ATM_132,State Bank of India,Mumbai,18.959314,72.840822,RURAL_JUNCTION
ATM_133,Axis Bank,Mumbai,19.066908,72.83278,RURAL_JUNCTION
ATM_134,Axis Bank,Kolkata,22.618308,88.323856,RURAL_JUNCTION
ATM_135,Union Bank of India,Kolkata,22.560279,88.367561,RESIDENTIAL_COLONY
ATM_136,Punjab National Bank,Kolkata,22.612956,88.323696,HIGHWAY_OUTSKIRTS
ATM_137,Punjab National Bank,Kolkata,22.605169,88.364187,COMMERCIAL_MARKET
ATM_138,State Bank of India,Kolkata,22.545118,88.376839,INDUSTRIAL_AREA
ATM_139,Bank of Baroda,Kolkata,22.578174,88.347094,COMMERCIAL_MARKET
ATM_140,State Bank of India,Kolkata,22.574554,88.353111,TRANSIT_HUB_METRO
ATM_141,Union Bank of India,Kolkata,22.575778,88.38244,TRANSIT_HUB_METRO
ATM_142,ICICI Bank,Kolkata,22.617008,88.329241,COMMERCIAL_MARKET
ATM_143,HDFC Bank,Kolkata,22.632325,88.309242,RESIDENTIAL_COLONY
ATM_144,HDFC Bank,Coimbatore,11.013157,76.96992,TRANSIT_HUB_METRO
ATM_145,HDFC Bank,Coimbatore,11.023544,76.940855,INDUSTRIAL_AREA
ATM_146,Punjab National Bank,Coimbatore,11.011805,76.943968,RURAL_JUNCTION
ATM_147,HDFC Bank,Coimbatore,11.002655,76.97619,TRANSIT_HUB_METRO
ATM_148,Punjab National Bank,Kochi,9.939768,76.25067,TRANSIT_HUB_METRO
ATM_149,State Bank of India,Kochi,9.95279,76.274675,TRANSIT_HUB_METRO
ATM_150,HDFC Bank,Kochi,9.950709,76.282411,RURAL_JUNCTION
